track_id,category,projection_id,seed_index,qubits,layers,entangle,eligible,gamma,clipped_eigenvalues,minimum_eigenvalue_before_clip,maximum_negative_eigenvalue,off_diagonal_mean,off_diagonal_std,off_diagonal_q05,off_diagonal_q95,effective_rank,regularized_condition_number,kernel_target_alignment_q01b,kernel_target_alignment_fqk
FQK,A02,PX-03,9,8,1,False,True,0.01790128768508387,21.8,-2.168587621110826e-15,-2.168587621110826e-15,0.7663959916495188,0.13828778521612722,0.5129614459554798,0.9675586875128159,14.06047291476547,795.4629500215566,0.20381366611022694,0.12269392021562579
Q01b,A02,PX-03,10,8,1,False,True,0.01790128768508387,25.8,-3.2391505575661966e-15,-3.2391505575661966e-15,0.7663963026667739,0.13828750790613073,0.512955388958474,0.9675604393237739,14.06980903102735,795.4630074036452,0.20384100787785914,0.12269002905107514
FQK,A02,PX-03,10,8,1,False,True,0.01790128768508387,25.8,-3.2391505575661966e-15,-3.2391505575661966e-15,0.7663963026667739,0.13828750790613073,0.512955388958474,0.9675604393237739,14.06980903102735,795.4630074036452,0.20384100787785914,0.12269002905107514
Q01b,A02,PX-03,11,8,1,False,True,0.01790128768508387,19.6,-2.9505373548225214e-15,-2.9505373548225214e-15,0.7663962730884852,0.1382891091933784,0.5129521727606561,0.9675607122957469,14.103826595491881,795.4630751426974,0.20390842087591046,0.12268433645468488
FQK,A02,PX-03,11,8,1,False,True,0.01790128768508387,19.6,-2.9505373548225214e-15,-2.9505373548225214e-15,0.7663962730884852,0.1382891091933784,0.5129521727606561,0.9675607122957469,14.103826595491881,795.4630751426974,0.20390842087591046,0.12268433645468488
Q01b,A02,PX-03,12,8,1,False,True,0.01790128768508387,21.0,-1.6788303532226495e-14,-1.6788303532226495e-14,0.7663957636220866,0.1382888995531572,0.512954276637501,0.9675601191095421,14.084249746373592,795.4628450397141,0.20387605485208535,0.12269025086884303
FQK,A02,PX-03,12,8,1,False,True,0.01790128768508387,21.0,-1.6788303532226495e-14,-1.6788303532226495e-14,0.7663957636220866,0.1382888995531572,0.512954276637501,0.9675601191095421,14.084249746373592,795.4628450397141,0.20387605485208535,0.12269025086884303
Q01b,A02,PX-03,13,8,1,False,True,0.01790128768508387,23.6,-7.321340142300931e-15,-7.321340142300931e-15,0.7663957175184226,0.1382882862431875,0.5129628026468542,0.9675584212802997,14.069854995736502,795.4626628083226,0.2037866546080383,0.12269056744343414
FQK,A02,PX-03,13,8,1,False,True,0.01790128768508387,23.6,-7.321340142300931e-15,-7.321340142300931e-15,0.7663957175184226,0.1382882862431875,0.5129628026468542,0.9675584212802997,14.069854995736502,795.4626628083226,0.2037866546080383,0.12269056744343414
Q01b,A02,PX-03,14,8,1,False,True,0.01790128768508387,21.0,-9.773762034204638e-15,-9.773762034204638e-15,0.7663961993267105,0.13828884501563837,0.512956485982391,0.9675603773393942,14.090011850916133,795.4630770265989,0.20396875728741698,0.12268804346862713
FQK,A02,PX-03,14,8,1,False,True,0.01790128768508387,21.0,-9.773762034204638e-15,-9.773762034204638e-15,0.7663961993267105,0.13828884501563837,0.512956485982391,0.9675603773393942,14.090011850916133,795.4630770265989,0.20396875728741698,0.12268804346862713
Q01b,A02,PX-03,15,8,1,False,True,0.01790128768508387,24.0,-3.725060586639569e-15,-3.725060586639569e-15,0.7663965602536119,0.13828848345932315,0.5129589705951331,0.9675587885402297,14.088192226800487,795.4632869205564,0.20389680248492156,0.12268620465688751
FQK,A02,PX-03,15,8,1,False,True,0.01790128768508387,24.0,-3.725060586639569e-15,-3.725060586639569e-15,0.7663965602536119,0.13828848345932315,0.5129589705951331,0.9675587885402297,14.088192226800487,795.4632869205564,0.20389680248492156,0.12268620465688751
Q01b,A02,PX-03,16,8,1,False,True,0.01790128768508387,26.0,-3.2192456001491697e-15,-3.2192456001491697e-15,0.7663960263529315,0.13828879158794855,0.5129557793234057,0.9675588817151717,14.079061135180638,795.4629373503111,0.20385210457988778,0.12268782882043103
FQK,A02,PX-03,16,8,1,False,True,0.01790128768508387,26.0,-3.2192456001491697e-15,-3.2192456001491697e-15,0.7663960263529315,0.13828879158794855,0.5129557793234057,0.9675588817151717,14.079061135180638,795.4629373503111,0.20385210457988778,0.12268782882043103
Q01b,A02,PX-03,17,8,1,False,True,0.01790128768508387,18.4,-5.9995297907745154e-15,-5.9995297907745154e-15,0.7663958104020367,0.13828915014821747,0.5129571816426942,0.9675589934948252,14.08994032384929,795.4628758636777,0.203906850845076,0.12268941047059027
FQK,A02,PX-03,17,8,1,False,True,0.01790128768508387,18.4,-5.9995297907745154e-15,-5.9995297907745154e-15,0.7663958104020367,0.13828915014821747,0.5129571816426942,0.9675589934948252,14.08994032384929,795.4628758636777,0.203906850845076,0.12268941047059027
Q01b,A02,PX-03,18,8,1,False,True,0.01790128768508387,23.8,-3.214669921801869e-15,-3.214669921801869e-15,0.7663957074205516,0.13828864055214854,0.5129563632470828,0.9675610542228374,14.0939684389779,795.4628369890072,0.203903620981959,0.12268996076139842
FQK,A02,PX-03,18,8,1,False,True,0.01790128768508387,23.8,-3.214669921801869e-15,-3.214669921801869e-15,0.7663957074205516,0.13828864055214854,0.5129563632470828,0.9675610542228374,14.0939684389779,795.4628369890072,0.203903620981959,0.12268996076139842
Q01b,A02,PX-03,19,8,1,False,True,0.01790128768508387,23.0,-4.63646784173248e-15,-4.63646784173248e-15,0.7663962538104461,0.13828929652973368,0.5129516422076241,0.9675606889977711,14.110378540447948,795.4630439952427,0.20391734471461653,0.12268292877161777
