alpha,calibration_rows_read,clipped_eigenvalues,condition,decision_sets,effective_rank,eligible,entangle,feature_scale,final_test_rows_read,fold_count,gamma,gamma_multiplier,ineligible_folds,kernel_target_alignment_fqk,kernel_target_alignment_q01b,landmarks,layers,maximum_negative_eigenvalue,mean_fold_nrmse,mean_regret_m_s,minimum_eigenvalue_before_clip,model_view,off_diagonal_mean,off_diagonal_q05,off_diagonal_q95,off_diagonal_std,pooled_oof_nrmse,pooled_oof_rmse,projection_id,qubits,regularized_condition_number,seed_index,status,track_id,validation_rows,wall_time_s,auroc,expected_calibration_error,false_negative_rate,false_positive_rate,pooled_oof_brier,precision_at_0_5,predicted_feasible_rate,recall_at_0_5
1.0,0,24.4,exact_statevector,7800,15.407041328358739,True,False,1.0,0,5,0.055702902976317595,0.25,[],0.15490329523166715,0.18901973173438438,256,1,-2.634566163668654e-15,0.5559458279632727,19.313729501302824,-2.634566163668654e-15,projected,0.7806381282108015,0.612877605672066,0.9574844505933745,0.10267759029382033,0.6609345411700462,1.547840623846048,PX-03,8,804.5307597838824,16,complete,Q01b,39000,3.1431116999010555,,,,,,,,
1.0,0,24.4,exact_statevector,,15.407041328358739,True,False,1.0,0,5,0.055702902976317595,0.25,[],0.15490329523166715,0.18901973173438438,256,1,-2.634566163668654e-15,,,-2.634566163668654e-15,projected,0.7806381282108015,0.612877605672066,0.9574844505933745,0.10267759029382033,,,PX-03,8,804.5307597838824,16,complete,FQK,39000,3.1431116999010555,0.7434488520357542,0.11310320613982365,0.8914126781782362,0.08764940239043825,0.1561394897920515,0.2603500972492359,0.09228205128205129,0.10858732182176382
1.0,0,17.0,exact_statevector,7800,15.426301157945499,True,False,1.0,0,5,0.055702902976317595,0.25,[],0.15490467517943898,0.18903909731055873,256,1,-2.2039171488202177e-15,0.5559163947082981,19.329105422248336,-2.2039171488202177e-15,projected,0.7806383646131569,0.6128838969093644,0.9574856867962669,0.10267733720702232,0.6604470285463525,1.546698919491703,PX-03,8,804.5310343765989,17,complete,Q01b,39000,3.1532322999555618,,,,,,,,
1.0,0,17.0,exact_statevector,,15.426301157945499,True,False,1.0,0,5,0.055702902976317595,0.25,[],0.15490467517943898,0.18903909731055873,256,1,-2.2039171488202177e-15,,,-2.2039171488202177e-15,projected,0.7806383646131569,0.6128838969093644,0.9574856867962669,0.10267733720702232,,,PX-03,8,804.5310343765989,17,complete,FQK,39000,3.1532322999555618,0.7436004901245237,0.1130762611376783,0.8914126781782362,0.0876823285370913,0.1561235622904847,0.2602777777777778,0.09230769230769231,0.10858732182176382
1.0,0,22.8,exact_statevector,7800,15.451934955517359,True,False,1.0,0,5,0.055702902976317595,0.25,[],0.15489558375537696,0.1890323797759898,256,1,-3.3094830018997504e-15,0.5573975640078654,19.326536629574232,-3.3094830018997504e-15,projected,0.7806386230332233,0.6128745721160218,0.9574842550460518,0.10267852801746535,0.6634442327363964,1.5537180630139928,PX-03,8,804.5312413163053,18,complete,Q01b,39000,3.1594516999903135,,,,,,,,
1.0,0,22.8,exact_statevector,,15.451934955517359,True,False,1.0,0,5,0.055702902976317595,0.25,[],0.15489558375537696,0.1890323797759898,256,1,-3.3094830018997504e-15,,,-3.3094830018997504e-15,projected,0.7806386230332233,0.6128745721160218,0.9574842550460518,0.10267852801746535,,,PX-03,8,804.5312413163053,18,complete,FQK,39000,3.1594516999903135,0.7435799880749273,0.11326277862325496,0.8907173484760691,0.08771525468374436,0.15608382719628278,0.26143609647906846,0.0924871794871795,0.10928265152393093
1.0,0,22.0,exact_statevector,7800,15.42835371914244,True,False,1.0,0,5,0.055702902976317595,0.25,[],0.1549014337745692,0.1888916470972317,256,1,-3.727270641278224e-15,0.557147457566374,19.32910301439423,-3.727270641278224e-15,projected,0.7806379487147904,0.6128830301483962,0.9574840540127194,0.10267807956534829,0.6622797708153112,1.5509910131261377,PX-03,8,804.5306904881318,19,complete,Q01b,39000,3.1857074000290595,,,,,,,,
1.0,0,22.0,exact_statevector,,15.42835371914244,True,False,1.0,0,5,0.055702902976317595,0.25,[],0.1549014337745692,0.1888916470972317,256,1,-3.727270641278224e-15,,,-3.727270641278224e-15,projected,0.7806379487147904,0.6128830301483962,0.9574840540127194,0.10267807956534829,,,PX-03,8,804.5306904881318,19,complete,FQK,39000,3.1857074000290595,0.743406348344994,0.11305159220948385,0.8912967898945416,0.08764940239043825,0.15613317434648702,0.26055555555555554,0.09230769230769231,0.10870321010545834
1.0,0,27.2,exact_statevector,7800,15.414651728321317,True,False,1.0,0,5,0.055702902976317595,0.25,[],0.15490466378617254,0.18884086683658072,256,1,-3.7534600916073885e-15,0.5555971396779006,19.321413114556027,-3.7534600916073885e-15,projected,0.7806375580572794,0.6128766318256662,0.9574805286172234,0.10267741866203157,0.6601314802400541,1.5459599378575914,PX-03,8,804.5303640152471,20,complete,Q01b,39000,3.1730807999847457,,,,,,,,
1.0,0,27.2,exact_statevector,,15.414651728321317,True,False,1.0,0,5,0.055702902976317595,0.25,[],0.15490466378617254,0.18884086683658072,256,1,-3.7534600916073885e-15,,,-3.7534600916073885e-15,projected,0.7806375580572794,0.6128766318256662,0.9574805286172234,0.10267741866203157,,,PX-03,8,804.5303640152471,20,complete,FQK,39000,3.1730807999847457,0.7436937471675414,0.11325967957787308,0.8912967898945416,0.0876823285370913,0.15610240875595657,0.260483199111358,0.09233333333333334,0.10870321010545834
