rung_samples,track_id,category,alpha,calibration_rows_read,clipped_eigenvalues,decision_sets,effective_rank,eligible,entangle,feature_scale,final_test_rows_read,fold_count,gamma,gamma_multiplier,ineligible_folds,kernel_target_alignment_fqk,kernel_target_alignment_q01b,landmarks,layers,maximum_negative_eigenvalue,mean_fold_nrmse,mean_regret_m_s,minimum_eigenvalue_before_clip,model_view,off_diagonal_mean,off_diagonal_q05,off_diagonal_q95,off_diagonal_std,pooled_oof_nrmse,pooled_oof_rmse,projection_id,qubits,regularized_condition_number,status,validation_rows,wall_time_s,control_id,auroc,expected_calibration_error,false_negative_rate,false_positive_rate,pooled_oof_brier,precision_at_0_5,predicted_feasible_rate,recall_at_0_5
256,FQK,projected,1.0,0,23.6,,26.834936928747982,True,False,2.0,0,5,0.17381954928299534,1.0,[],0.14093379631523312,0.052050350012589716,256,2,-3.092855591202025e-15,,,-3.092855591202025e-15,projected,0.40746446458240576,0.2052859433973774,0.7654326356100604,0.17033468860525608,,,PX-21,6,107.82149587580466,complete,39000,3.255388099933043,,0.5567805408297212,0.15469901799872213,0.896279986093406,0.0869908794573771,0.1966515275353778,0.25303929884082554,0.0906923076923077,0.10372001390659405
256,FQK,projected,0.01,0,24.8,,17.16350156855148,True,False,2.0,0,5,0.03230610344416136,0.25,[],0.12507135704182515,0.047748233414571746,256,2,-3.355252124663679e-15,,,-3.355252124663679e-15,projected,0.7845865732762394,0.686056873965817,0.9018731447776969,0.06591716461154241,,,PX-23,8,20116.889550589698,complete,39000,0.8401892000692897,,0.5727847792020645,0.16871237672318384,0.7725112991076603,0.08623357808435679,0.19901778963032984,0.42841553906591007,0.11748717948717949,0.22748870089233977
256,FQK,projected,0.01,0,23.2,,120.7104421354737,True,False,2.0,0,5,0.5168976551065818,4.0,[],0.23564600109924122,0.06298679535386822,256,2,-1.872382996469989e-15,,,-1.872382996469989e-15,projected,0.05225569790995156,0.0024117152577939225,0.19441129106895666,0.11684508953640826,,,PX-16,8,2468.5776716316764,complete,39000,5.5408250000327826,,0.53711942631625,0.16100263894421168,0.9479661606211612,0.06308649698725759,0.20190959901289615,0.18985200845665962,0.06064102564102564,0.0520338393788388
256,FQK,projected,1.0,0,98.6,,4.330920996107204,True,False,0.5,0,5,0.2457842307320946,0.25,[],0.0892718806321654,0.06227900049817629,256,2,-8.602930793466858e-15,,,-8.602930793466858e-15,projected,0.7346914272683975,0.32368256326223543,0.9962831200034415,0.2220627488734528,,,PX-01,4,194.4810800689957,complete,39000,2.5033466001041234,,0.45692172718499935,0.1820015579187198,0.9800672152045429,0.043001547528892695,0.20471787901721794,0.11637347767253045,0.0378974358974359,0.019932784795457178
256,FQK,projected,0.01,0,24.8,,14.034873457583057,True,True,1.0,0,5,0.6002839105121984,0.25,[],0.08010155201562344,0.0652025436956823,256,2,-2.5258783392235095e-15,,,-2.5258783392235095e-15,projected,0.7380411450057069,0.38180952935448426,0.9508828057973175,0.174281537757811,,,PX-14,6,19292.28715068542,complete,39000,1.7574191999156028,,0.631114203517371,0.19311160464235355,0.812029203847491,0.17049158736953016,0.22397476450852408,0.23852941176470588,0.17435897435897435,0.18797079615250897
256,FQK,projected,1.0,0,26.0,,13.5306183640492,True,False,2.0,0,5,0.2898501985565213,1.0,[],0.15083702095824997,0.0447102129296688,256,1,-5.511041431245068e-15,,,-5.511041431245068e-15,projected,0.42970983086402814,0.15769987068120156,0.9197328128772184,0.2271826963308127,,,PX-27,4,115.25068192095853,complete,39000,0.9260434999014251,,0.5178427185551397,0.2125363963164931,0.7882721056901147,0.18856804188205853,0.22799313591130355,0.24185861795075456,0.1936923076923077,0.21172789430988528
256,FQK,projected,0.01,0,27.2,,5.642985739833897,True,True,0.5,0,5,0.7937441559853488,0.25,[],0.04254570634740689,0.1106562070058327,256,2,-7.0931262209427314e-15,,,-7.0931262209427314e-15,projected,0.7105893242021835,0.26632201406126654,0.9831205793966598,0.2353733222768076,,,PX-15,6,18797.718923096803,complete,39000,3.2705598000320606,,0.6223753451059106,0.2043958586075223,0.7827094680727779,0.2133614303118106,0.24218170502282205,0.2244165170556553,0.21423076923076922,0.21729053192722217
256,FQK,projected,1.0,0,36.8,,9.812238049589897,True,True,0.5,0,5,12.817109537555075,1.0,[],0.1315982949403383,0.07877682232019756,256,1,-1.3064973256533162e-14,,,-1.3064973256533162e-14,projected,0.4174479643225128,0.00015259217477046373,0.9785054923911612,0.3547147939411398,,,PX-30,4,129.96989882638655,complete,39000,2.3872138999868184,,0.5123266865647841,0.2547117300086505,0.7787692664271643,0.21112245233940272,0.2537068930874801,0.22941954092056244,0.21335897435897436,0.2212307335728358
256,FQK,A02,1.0,0,26.4,,18.592437349451686,True,False,2.0,0,5,0.1078229667772203,1.0,[],0.1639072094434156,0.18246419587869117,256,2,-7.518144293293032e-15,,,-7.518144293293032e-15,A02,0.4171712713715435,0.0377157540740908,0.9362532889345788,0.286147616484648,,,PX-21,6,124.85794787446449,complete,39000,3.255388099933043,,0.6904857829199107,0.13482448763189833,0.8113338741453239,0.13987027098218696,0.1838405769169565,0.2770592239618788,0.15066666666666667,0.1886661258546761
256,FQK,A02,1.0,0,28.0,,13.814179555173732,True,False,1.0,0,5,0.017815269019286567,0.25,[],0.13503125825741122,0.19512778651872903,256,1,-2.4088384449312798e-15,,,-2.4088384449312798e-15,A02,0.7656746859898718,0.5055347961069542,0.9659340904696879,0.14043346651862804,,,PX-03,8,199.73322184136182,complete,39000,5.277456399984658,,0.5359877078364751,0.16349762838845833,0.8827210569011473,0.07849593362088834,0.19736795666732018,0.29799764428739695,0.08707692307692308,0.1172789430988527
