category,calibration_rows_read,control_id,decision_sets,eligible,final_test_rows_read,fold_count,ineligible_folds,mean_fold_nrmse,mean_regret_m_s,model_view,pooled_oof_nrmse,pooled_oof_rmse,seed_index,status,track_id,validation_rows,wall_time_s,auroc,expected_calibration_error,false_negative_rate,false_positive_rate,pooled_oof_brier,precision_at_0_5,predicted_feasible_rate,recall_at_0_5
control,0,C01-T18,,True,0,5,[],,,control,,,4,complete,FQK,39000,61.12887520005461,0.7817752606838659,0.12380996176809472,0.8655695909143586,0.04724902044713707,0.1624899193900685,0.44701348747591524,0.06653846153846153,0.13443040908564144
control,0,C02-T02,,True,0,5,[],,,control,,,4,complete,FQK,39000,61.12887520005461,0.917383595129905,0.06689933775480159,0.6766716884922934,0.03539560765203648,0.10313906461949225,0.7218628719275549,0.0991025641025641,0.3233283115077066
control,0,C03-T13,,True,0,5,[],,,control,,,4,complete,FQK,39000,61.12887520005461,0.8989529527337629,0.11489695140934364,0.5932321242322401,0.05643541536334003,0.13088043978657862,0.6718989280245024,0.13394871794871796,0.40676787576775986
control,0,C04-T28,,True,0,5,[],,,control,,,4,complete,FQK,39000,61.12887520005461,0.7306596292347993,0.07358071774528153,0.9986093405956658,0.0032596885186526622,0.15782398239201534,0.10810810810810811,0.0028461538461538463,0.0013906594043342217
control,0,C05-T12,,True,0,5,[],,,control,,,4,complete,FQK,39000,61.12887520005461,0.5199156387020529,0.14893400138607896,0.972070923629621,0.01478383984722268,0.19216519541022645,0.3492753623188406,0.01769230769230769,0.027929076370378954
control,0,C06-T17,,True,0,5,[],,,control,,,4,complete,FQK,39000,61.12887520005461,0.8971983962581732,0.09764262831651918,0.6009966392397729,0.048269730993381846,0.12247392928942265,0.7013648400896313,0.12587179487179487,0.39900336076022713
control,0,A01-T04-q8,,True,0,5,[],,,control,,,4,complete,FQK,39000,61.12887520005461,0.6872500821427037,0.15010256428539964,0.8655695909143586,0.0943004840143558,0.1916369822479792,0.2882703777335984,0.10317948717948718,0.13443040908564144
control,0,C05-T17-q8,,True,0,5,[],,,control,,,4,complete,FQK,39000,61.12887520005461,0.5781548986434646,0.14133966067970913,0.9028856182639935,0.06858516347831813,0.1846335278623701,0.28688805203697365,0.0748974358974359,0.09711438173600649
control,0,C06-T17,7800,True,0,5,[],0.005356997531575444,16.806576945019742,control,0.006832811015144498,0.016001739666352786,5,complete,Q01b,39000,58.398571999918204,,,,,,,,
control,0,A01-T04-q8,7800,True,0,5,[],0.5004511396922882,19.05590619170436,control,0.6043192129937305,1.415253356234729,5,complete,Q01b,39000,58.398571999918204,,,,,,,,
control,0,C05-T17-q8,7800,True,0,5,[],0.34188236966987273,19.769537822580386,control,0.4220405037713384,0.988375392651266,5,complete,Q01b,39000,58.398571999918204,,,,,,,,
control,0,C01-T18,,True,0,5,[],,,control,,,5,complete,FQK,39000,58.398571999918204,0.7819786938259057,0.12384037917490051,0.8655695909143586,0.04724902044713707,0.1625018272615103,0.44701348747591524,0.06653846153846153,0.13443040908564144
