outer_fold,seed_index,config_id,q,layers,entangle,state_dimension,landmarks,lambda,psd_clipped_eigenvalues,min_eigenvalue_before_clip,validation_outcomes_used
CV02,7,GFRK-08-L010,8,1,True,256,256,0.1,15,-9.234720300624382e-16,0
CV02,8,GFRK-04-L010,4,1,True,16,256,0.1,175,-1.30825815928306e-14,0
CV02,8,GFRK-06-L010,6,1,True,64,256,0.1,16,-3.197708725274167e-15,0
CV02,8,GFRK-08-L010,8,1,True,256,256,0.1,20,-1.1725586657644529e-15,0
CV02,9,GFRK-04-L010,4,1,True,16,256,0.1,175,-1.269880655451142e-14,0
CV02,9,GFRK-06-L010,6,1,True,64,256,0.1,15,-9.165656180105553e-16,0
CV02,9,GFRK-08-L010,8,1,True,256,256,0.1,17,-1.7331559000299533e-15,0
CV02,10,GFRK-04-L010,4,1,True,16,256,0.1,175,-1.0002462523073861e-14,0
CV02,10,GFRK-06-L010,6,1,True,64,256,0.1,14,-9.69195231309924e-16,0
CV02,10,GFRK-08-L010,8,1,True,256,256,0.1,23,-1.968619722671861e-15,0
CV02,11,GFRK-04-L010,4,1,True,16,256,0.1,175,-1.0122602798476237e-14,0
CV02,11,GFRK-06-L010,6,1,True,64,256,0.1,21,-4.355937790671713e-15,0
CV02,11,GFRK-08-L010,8,1,True,256,256,0.1,17,-3.78504399890216e-15,0
CV02,12,GFRK-04-L010,4,1,True,16,256,0.1,175,-1.1045009611051028e-14,0
CV02,12,GFRK-06-L010,6,1,True,64,256,0.1,16,-9.110288218295934e-16,0
CV02,12,GFRK-08-L010,8,1,True,256,256,0.1,18,-1.8122014234157286e-15,0
CV02,13,GFRK-04-L010,4,1,True,16,256,0.1,175,-1.0388603055242616e-14,0
CV02,13,GFRK-06-L010,6,1,True,64,256,0.1,12,-7.589692621400781e-16,0
CV02,13,GFRK-08-L010,8,1,True,256,256,0.1,21,-1.3188825027133662e-15,0
CV02,14,GFRK-04-L010,4,1,True,16,256,0.1,175,-1.0416733996887515e-14,0
CV02,14,GFRK-06-L010,6,1,True,64,256,0.1,15,-1.29986182556078e-15,0
CV02,14,GFRK-08-L010,8,1,True,256,256,0.1,11,-6.189466035446678e-16,0
CV02,15,GFRK-04-L010,4,1,True,16,256,0.1,175,-1.2582588017693782e-14,0
CV02,15,GFRK-06-L010,6,1,True,64,256,0.1,14,-1.0728287845223086e-15,0
CV02,15,GFRK-08-L010,8,1,True,256,256,0.1,18,-1.5205692434299405e-15,0
CV02,16,GFRK-04-L010,4,1,True,16,256,0.1,175,-1.134544485258023e-14,0
CV02,16,GFRK-06-L010,6,1,True,64,256,0.1,13,-1.393840593418879e-15,0
CV02,16,GFRK-08-L010,8,1,True,256,256,0.1,14,-1.640127079746559e-15,0
CV02,17,GFRK-04-L010,4,1,True,16,256,0.1,175,-1.674234692072769e-14,0
CV02,17,GFRK-06-L010,6,1,True,64,256,0.1,17,-9.023215640190408e-16,0
CV02,17,GFRK-08-L010,8,1,True,256,256,0.1,22,-2.4203509337994494e-15,0
CV02,18,GFRK-04-L010,4,1,True,16,256,0.1,175,-1.1986928727125472e-14,0
CV02,18,GFRK-06-L010,6,1,True,64,256,0.1,14,-3.274491951438097e-15,0
CV02,18,GFRK-08-L010,8,1,True,256,256,0.1,12,-1.2512842754910144e-15,0
CV02,19,GFRK-04-L010,4,1,True,16,256,0.1,175,-1.6939124141032655e-14,0
CV02,19,GFRK-06-L010,6,1,True,64,256,0.1,14,-1.0347697138218192e-15,0
CV02,19,GFRK-08-L010,8,1,True,256,256,0.1,16,-1.203149866878865e-15,0
