outer_fold,seed_index,inner_fold,fit_groups,holdout_groups,group_intersection_count,fit_rows,holdout_rows
CV02,2,1,G02;G03;G07;G08;G09;G10;G11,G05;G06,0,792,232
CV02,2,2,G05;G06;G07;G08;G09;G11,G02;G03;G10,0,686,338
CV02,2,3,G02;G03;G05;G06;G07;G10;G11,G08;G09,0,808,216
CV02,2,4,G02;G03;G05;G06;G08;G09;G10,G07;G11,0,786,238
CV02,3,1,G02;G03;G07;G08;G09;G10;G11,G05;G06,0,792,232
CV02,3,2,G05;G06;G07;G08;G09;G11,G02;G03;G10,0,686,338
CV02,3,3,G02;G03;G05;G06;G07;G10;G11,G08;G09,0,808,216
CV02,3,4,G02;G03;G05;G06;G08;G09;G10,G07;G11,0,786,238
CV02,4,1,G02;G03;G07;G08;G09;G10;G11,G05;G06,0,792,232
CV02,4,2,G05;G06;G07;G08;G09;G11,G02;G03;G10,0,686,338
CV02,4,3,G02;G03;G05;G06;G07;G10;G11,G08;G09,0,808,216
CV02,4,4,G02;G03;G05;G06;G08;G09;G10,G07;G11,0,786,238
CV02,5,1,G02;G03;G07;G08;G09;G10;G11,G05;G06,0,792,232
CV02,5,2,G05;G06;G07;G08;G09;G11,G02;G03;G10,0,686,338
CV02,5,3,G02;G03;G05;G06;G07;G10;G11,G08;G09,0,808,216
CV02,5,4,G02;G03;G05;G06;G08;G09;G10,G07;G11,0,786,238
CV02,6,1,G02;G03;G07;G08;G09;G10;G11,G05;G06,0,792,232
CV02,6,2,G05;G06;G07;G08;G09;G11,G02;G03;G10,0,686,338
CV02,6,3,G02;G03;G05;G06;G07;G10;G11,G08;G09,0,808,216
CV02,6,4,G02;G03;G05;G06;G08;G09;G10,G07;G11,0,786,238
CV02,7,1,G02;G03;G07;G08;G09;G10;G11,G05;G06,0,792,232
CV02,7,2,G05;G06;G07;G08;G09;G11,G02;G03;G10,0,686,338
CV02,7,3,G02;G03;G05;G06;G07;G10;G11,G08;G09,0,808,216
CV02,7,4,G02;G03;G05;G06;G08;G09;G10,G07;G11,0,786,238
CV02,8,1,G02;G03;G07;G08;G09;G10;G11,G05;G06,0,792,232
CV02,8,2,G05;G06;G07;G08;G09;G11,G02;G03;G10,0,686,338
CV02,8,3,G02;G03;G05;G06;G07;G10;G11,G08;G09,0,808,216
CV02,8,4,G02;G03;G05;G06;G08;G09;G10,G07;G11,0,786,238
CV02,9,1,G02;G03;G07;G08;G09;G10;G11,G05;G06,0,792,232
CV02,9,2,G05;G06;G07;G08;G09;G11,G02;G03;G10,0,686,338
CV02,9,3,G02;G03;G05;G06;G07;G10;G11,G08;G09,0,808,216
CV02,9,4,G02;G03;G05;G06;G08;G09;G10,G07;G11,0,786,238
CV02,10,1,G02;G03;G07;G08;G09;G10;G11,G05;G06,0,792,232
CV02,10,2,G05;G06;G07;G08;G09;G11,G02;G03;G10,0,686,338
CV02,10,3,G02;G03;G05;G06;G07;G10;G11,G08;G09,0,808,216
CV02,10,4,G02;G03;G05;G06;G08;G09;G10,G07;G11,0,786,238
CV02,11,1,G02;G03;G07;G08;G09;G10;G11,G05;G06,0,792,232
CV02,11,2,G05;G06;G07;G08;G09;G11,G02;G03;G10,0,686,338
CV02,11,3,G02;G03;G05;G06;G07;G10;G11,G08;G09,0,808,216
CV02,11,4,G02;G03;G05;G06;G08;G09;G10,G07;G11,0,786,238
CV02,12,1,G02;G03;G07;G08;G09;G10;G11,G05;G06,0,792,232
CV02,12,2,G05;G06;G07;G08;G09;G11,G02;G03;G10,0,686,338
CV02,12,3,G02;G03;G05;G06;G07;G10;G11,G08;G09,0,808,216
CV02,12,4,G02;G03;G05;G06;G08;G09;G10,G07;G11,0,786,238
CV02,13,1,G02;G03;G07;G08;G09;G10;G11,G05;G06,0,792,232
CV02,13,2,G05;G06;G07;G08;G09;G11,G02;G03;G10,0,686,338
CV02,13,3,G02;G03;G05;G06;G07;G10;G11,G08;G09,0,808,216
CV02,13,4,G02;G03;G05;G06;G08;G09;G10,G07;G11,0,786,238
CV02,14,1,G02;G03;G07;G08;G09;G10;G11,G05;G06,0,792,232
CV02,14,2,G05;G06;G07;G08;G09;G11,G02;G03;G10,0,686,338
CV02,14,3,G02;G03;G05;G06;G07;G10;G11,G08;G09,0,808,216
CV02,14,4,G02;G03;G05;G06;G08;G09;G10,G07;G11,0,786,238
CV02,15,1,G02;G03;G07;G08;G09;G10;G11,G05;G06,0,792,232
CV02,15,2,G05;G06;G07;G08;G09;G11,G02;G03;G10,0,686,338
CV02,15,3,G02;G03;G05;G06;G07;G10;G11,G08;G09,0,808,216
CV02,15,4,G02;G03;G05;G06;G08;G09;G10,G07;G11,0,786,238
CV02,16,1,G02;G03;G07;G08;G09;G10;G11,G05;G06,0,792,232
CV02,16,2,G05;G06;G07;G08;G09;G11,G02;G03;G10,0,686,338
CV02,16,3,G02;G03;G05;G06;G07;G10;G11,G08;G09,0,808,216
CV02,16,4,G02;G03;G05;G06;G08;G09;G10,G07;G11,0,786,238
CV02,17,1,G02;G03;G07;G08;G09;G10;G11,G05;G06,0,792,232
CV02,17,2,G05;G06;G07;G08;G09;G11,G02;G03;G10,0,686,338
CV02,17,3,G02;G03;G05;G06;G07;G10;G11,G08;G09,0,808,216
CV02,17,4,G02;G03;G05;G06;G08;G09;G10,G07;G11,0,786,238
CV02,18,1,G02;G03;G07;G08;G09;G10;G11,G05;G06,0,792,232
CV02,18,2,G05;G06;G07;G08;G09;G11,G02;G03;G10,0,686,338
CV02,18,3,G02;G03;G05;G06;G07;G10;G11,G08;G09,0,808,216
CV02,18,4,G02;G03;G05;G06;G08;G09;G10,G07;G11,0,786,238
CV02,19,1,G02;G03;G07;G08;G09;G10;G11,G05;G06,0,792,232
CV02,19,2,G05;G06;G07;G08;G09;G11,G02;G03;G10,0,686,338
CV02,19,3,G02;G03;G05;G06;G07;G10;G11,G08;G09,0,808,216
