outer_fold,seed_index,config_id,fit_rows,fit_features,validation_rows,projection_components,projection_hash,validation_outcomes_used
CV04,1,GFRK-04-L010,1024,4,6500,4,82cf725f3a664d733ba92e4a2f0fde62b264eccc6ddfc921aa709f8194fe24db,0
CV04,1,GFRK-06-L010,1024,6,6500,6,a55cf0d3a8c7a1e99b6d212313d58aa5a928c2f4009641856c125200268b3e7a,0
CV04,1,GFRK-08-L010,1024,8,6500,8,45eae442bb1ae48c40341fa1952368dfaea67d2bd5b56e89b86397e31cf7a0ce,0
CV04,2,GFRK-04-L010,1024,4,6500,4,82cf725f3a664d733ba92e4a2f0fde62b264eccc6ddfc921aa709f8194fe24db,0
CV04,2,GFRK-06-L010,1024,6,6500,6,a55cf0d3a8c7a1e99b6d212313d58aa5a928c2f4009641856c125200268b3e7a,0
CV04,2,GFRK-08-L010,1024,8,6500,8,45eae442bb1ae48c40341fa1952368dfaea67d2bd5b56e89b86397e31cf7a0ce,0
CV04,3,GFRK-04-L010,1024,4,6500,4,82cf725f3a664d733ba92e4a2f0fde62b264eccc6ddfc921aa709f8194fe24db,0
CV04,3,GFRK-06-L010,1024,6,6500,6,a55cf0d3a8c7a1e99b6d212313d58aa5a928c2f4009641856c125200268b3e7a,0
CV04,3,GFRK-08-L010,1024,8,6500,8,45eae442bb1ae48c40341fa1952368dfaea67d2bd5b56e89b86397e31cf7a0ce,0
CV04,4,GFRK-04-L010,1024,4,6500,4,82cf725f3a664d733ba92e4a2f0fde62b264eccc6ddfc921aa709f8194fe24db,0
CV04,4,GFRK-06-L010,1024,6,6500,6,a55cf0d3a8c7a1e99b6d212313d58aa5a928c2f4009641856c125200268b3e7a,0
CV04,4,GFRK-08-L010,1024,8,6500,8,45eae442bb1ae48c40341fa1952368dfaea67d2bd5b56e89b86397e31cf7a0ce,0
CV04,5,GFRK-04-L010,1024,4,6500,4,82cf725f3a664d733ba92e4a2f0fde62b264eccc6ddfc921aa709f8194fe24db,0
CV04,5,GFRK-06-L010,1024,6,6500,6,a55cf0d3a8c7a1e99b6d212313d58aa5a928c2f4009641856c125200268b3e7a,0
CV04,5,GFRK-08-L010,1024,8,6500,8,45eae442bb1ae48c40341fa1952368dfaea67d2bd5b56e89b86397e31cf7a0ce,0
