task_key,task_signature,source_commit,stage,family_id,model_family,trial_id,trial_order,view,rung_samples,matched_qubits,seed_index,candidate_role,control_for,advancement_basis,source_split,calibration_rows_read,final_test_rows_read,fold_id,training_seed,qubits,data_reupload_layers,feature_scale,entangle,shots,noise_state,training_rows,validation_rows,training_groups,validation_groups,rmse,nrmse,mae,mean_regret_m_s,no_reference_feasible_rate,training_wall_time_s,inference_wall_time_s,feasibility_metric_error,cost_fitted_trainable_parameter_count,feasibility_fitted_trainable_parameter_count,feasibility_samples,feasibility_precision,feasibility_recall,feasibility_auroc,feasibility_brier,feasibility_expected_calibration_error,eligible_to_advance,fold_end_to_end_wall_time_s,centered_kernel_target_alignment,effective_rank,kernel_rows,nystrom_landmarks,off_diagonal_mean,off_diagonal_q05,off_diagonal_q95,off_diagonal_std,regularized_condition_number
C01-T18__primary__rfull__qraw__s05,08243c0c763da417ae5bbdeefc8e204a90e31cb592bf9478f150153d291f831c,6e5a6202eec486e88af6b969f6af86571fb0ce32,seed_rerun,C01,ridge_elastic_net,C01-T18,18,primary,,,5,primary_candidate,,candidate,development,0,0,CV05,1404528401,,,,,,,32500,6500,10,2,0.03327203290666042,0.014207299811214625,0.028081870802997327,17.615776675117694,0.39384615384615385,18.099322916998062,0.0019438750023255125,,54,54,6500,0.47428833792470154,0.8082942097026604,0.8354450504037031,0.1496564454317679,0.14337226222831542,True,19.3175791669928,,,,,,,,,
C01-T18__primary__rfull__qraw__s06,c1e98f3214f8ee8682b60d5198d19e35df8dee2bde05a14cfd3e8437870e70dc,6e5a6202eec486e88af6b969f6af86571fb0ce32,seed_rerun,C01,ridge_elastic_net,C01-T18,18,primary,,,6,primary_candidate,,candidate,development,0,0,CV01,1222615523,,,,,,,32500,6500,10,2,0.025148007433732692,0.01073830632074702,0.016218581251749596,10.0,0.3123076923076923,15.826786667006672,0.001644417003262788,,54,54,6500,0.867236279986855,0.9016057396651862,0.9754063114860141,0.07588204679155018,0.07797817132055655,True,17.123335915995995,,,,,,,,,
C01-T18__primary__rfull__qraw__s06,c1e98f3214f8ee8682b60d5198d19e35df8dee2bde05a14cfd3e8437870e70dc,6e5a6202eec486e88af6b969f6af86571fb0ce32,seed_rerun,C01,ridge_elastic_net,C01-T18,18,primary,,,6,primary_candidate,,candidate,development,0,0,CV02,1222615523,,,,,,,29250,9750,9,3,0.06381912677573504,0.027251039043402703,0.053265333089901445,11.436257451269743,0.41384615384615386,16.465522832993884,0.002660833008121699,,54,54,9750,0.5521663778162912,0.4827272727272727,0.8109430115104534,0.17762627493535044,0.19500410490835915,True,18.456386749996454,,,,,,,,,
C01-T18__primary__rfull__qraw__s06,c1e98f3214f8ee8682b60d5198d19e35df8dee2bde05a14cfd3e8437870e70dc,6e5a6202eec486e88af6b969f6af86571fb0ce32,seed_rerun,C01,ridge_elastic_net,C01-T18,18,primary,,,6,primary_candidate,,candidate,development,0,0,CV03,1222615523,,,,,,,29250,9750,9,3,0.03349544960453296,0.014302699693103759,0.026962544337707187,19.57975544092513,0.838974358974359,13.749668624994229,0.002503125011571683,,55,55,9750,0.2210144927536232,0.12398373983739837,0.8380688554131166,0.05343173885249463,0.05011784726214366,True,15.604089540996938,,,,,,,,,
C01-T18__primary__rfull__qraw__s06,c1e98f3214f8ee8682b60d5198d19e35df8dee2bde05a14cfd3e8437870e70dc,6e5a6202eec486e88af6b969f6af86571fb0ce32,seed_rerun,C01,ridge_elastic_net,C01-T18,18,primary,,,6,primary_candidate,,candidate,development,0,0,CV04,1222615523,,,,,,,32500,6500,10,2,0.023855955970564162,0.010186594841011162,0.017281086379304086,19.430823940648462,0.6576923076923077,18.891920207999647,0.00200191700423602,,54,54,6500,0.36645962732919257,0.09335443037974683,0.8508346599880925,0.07551015740390697,0.027200434323994164,True,20.10404770799505,,,,,,,,,
C01-T18__primary__rfull__qraw__s06,c1e98f3214f8ee8682b60d5198d19e35df8dee2bde05a14cfd3e8437870e70dc,6e5a6202eec486e88af6b969f6af86571fb0ce32,seed_rerun,C01,ridge_elastic_net,C01-T18,18,primary,,,6,primary_candidate,,candidate,development,0,0,CV05,1222615523,,,,,,,32500,6500,10,2,0.03327203290666042,0.014207299811214625,0.028081870802997327,17.615776675117694,0.39384615384615385,18.126520000005257,0.0022810000082245097,,54,54,6500,0.47428833792470154,0.8082942097026604,0.8354657285386431,0.14968491115293725,0.14348164053220339,True,19.342533125003683,,,,,,,,,
C01-T18__primary__rfull__qraw__s07,508dedc697548510afab66131363c99342a508ea32b0bd0056b5ccea7f212c61,6e5a6202eec486e88af6b969f6af86571fb0ce32,seed_rerun,C01,ridge_elastic_net,C01-T18,18,primary,,,7,primary_candidate,,candidate,development,0,0,CV01,2629060497,,,,,,,32500,6500,10,2,0.025148007433732692,0.01073830632074702,0.016218581251749596,10.0,0.3123076923076923,15.555134915994131,0.001607040991075337,,54,54,6500,0.8669513797634691,0.9016057396651862,0.9753973232986914,0.07596980453806633,0.07752147294610726,True,16.87908954100567,,,,,,,,,
C01-T18__primary__rfull__qraw__s07,508dedc697548510afab66131363c99342a508ea32b0bd0056b5ccea7f212c61,6e5a6202eec486e88af6b969f6af86571fb0ce32,seed_rerun,C01,ridge_elastic_net,C01-T18,18,primary,,,7,primary_candidate,,candidate,development,0,0,CV02,2629060497,,,,,,,29250,9750,9,3,0.06381912677573504,0.027251039043402703,0.053265333089901445,11.436257451269743,0.41384615384615386,16.237320291998913,0.0024202499917009845,,54,54,9750,0.5517838586768271,0.4827272727272727,0.8108295043457835,0.1776158764595115,0.195086559474508,True,18.03148320899345,,,,,,,,,
C01-T18__primary__rfull__qraw__s07,508dedc697548510afab66131363c99342a508ea32b0bd0056b5ccea7f212c61,6e5a6202eec486e88af6b969f6af86571fb0ce32,seed_rerun,C01,ridge_elastic_net,C01-T18,18,primary,,,7,primary_candidate,,candidate,development,0,0,CV03,2629060497,,,,,,,29250,9750,9,3,0.03349544960453296,0.014302699693103759,0.026962544337707187,19.57975544092513,0.838974358974359,14.009243042004528,0.002171791988075711,,55,55,9750,0.2210144927536232,0.12398373983739837,0.8381055189359411,0.05341771421668522,0.05010764447937848,True,15.87659512499522,,,,,,,,,
C01-T18__primary__rfull__qraw__s07,508dedc697548510afab66131363c99342a508ea32b0bd0056b5ccea7f212c61,6e5a6202eec486e88af6b969f6af86571fb0ce32,seed_rerun,C01,ridge_elastic_net,C01-T18,18,primary,,,7,primary_candidate,,candidate,development,0,0,CV04,2629060497,,,,,,,32500,6500,10,2,0.023855955970564162,0.010186594841011162,0.017281086379304086,19.430823940648462,0.6576923076923077,18.889314416999696,0.0019647089939098805,,54,54,6500,0.36419753086419754,0.09335443037974683,0.850833042116435,0.07551037345182049,0.027199447349088756,True,20.11368633300299,,,,,,,,,
