model_id,fold_id,seed_index,validation_rows,rmse,nrmse,mae,tail_abs_error_q90,tail_abs_error_q95
ridge_residual,CV02,14,9750,0.06374803531560544,1.117281010224846,0.04828877178481444,0.10522734161215425,0.12297995171368177
random_feature_rbf_residual,CV02,14,9750,0.07174179718661362,1.2573838117389582,0.06240300146600461,0.11678280413302966,0.12075158637535915
compressed_mlp_residual,CV02,14,9750,0.14156327682651748,2.4811111457854165,0.12585938777591166,0.20390687056609072,0.20481238800841428
a02_exact_rbf_residual,CV02,14,9750,0.23759676530835608,4.164243692462329,0.19464551550739947,0.36995174862657265,0.37621321316172107
ridge_residual,CV02,15,9750,0.06374803531560544,1.117281010224846,0.04828877178481444,0.10522734161215425,0.12297995171368177
random_feature_rbf_residual,CV02,15,9750,0.07015279261336044,1.2295340964329617,0.05641018490915359,0.12413085267789176,0.12887972640846285
compressed_mlp_residual,CV02,15,9750,0.10148446601566068,1.7786691958544094,0.0750502936799421,0.18007215611227845,0.19788788053649736
a02_exact_rbf_residual,CV02,15,9750,0.23759676530835608,4.164243692462329,0.19464551550739947,0.36995174862657265,0.37621321316172107
ridge_residual,CV02,16,9750,0.06374803531560544,1.117281010224846,0.04828877178481444,0.10522734161215425,0.12297995171368177
random_feature_rbf_residual,CV02,16,9750,0.07980828638441867,1.3987612699660539,0.06626607828424558,0.14082964606254758,0.14375870041937489
compressed_mlp_residual,CV02,16,9750,0.08311589702981535,1.4567321634221948,0.06791111519252126,0.13672067314859457,0.1462794407380929
a02_exact_rbf_residual,CV02,16,9750,0.23759676530835608,4.164243692462329,0.19464551550739947,0.36995174862657265,0.37621321316172107
ridge_residual,CV02,17,9750,0.06374803531560544,1.117281010224846,0.04828877178481444,0.10522734161215425,0.12297995171368177
random_feature_rbf_residual,CV02,17,9750,0.07641044946138059,1.3392090241414376,0.0655758064008805,0.13058311172842865,0.1351074882267631
compressed_mlp_residual,CV02,17,9750,0.0767332534026478,1.3448666528325495,0.06668676406383839,0.11165448878014105,0.12067420577229748
a02_exact_rbf_residual,CV02,17,9750,0.23759676530835608,4.164243692462329,0.19464551550739947,0.36995174862657265,0.37621321316172107
ridge_residual,CV02,18,9750,0.06374803531560544,1.117281010224846,0.04828877178481444,0.10522734161215425,0.12297995171368177
random_feature_rbf_residual,CV02,18,9750,0.07193585254574698,1.2607849262457609,0.05932071280694338,0.12544379471509365,0.1312869619687631
compressed_mlp_residual,CV02,18,9750,0.14439518903689078,2.53074470264108,0.13400895231853308,0.1896307926471604,0.1961977847623375
a02_exact_rbf_residual,CV02,18,9750,0.23759676530835608,4.164243692462329,0.19464551550739947,0.36995174862657265,0.37621321316172107
ridge_residual,CV02,19,9750,0.06374803531560544,1.117281010224846,0.04828877178481444,0.10522734161215425,0.12297995171368177
random_feature_rbf_residual,CV02,19,9750,0.07097977483892597,1.2440282142805694,0.05700125785701798,0.12700376763002366,0.13145867871271813
compressed_mlp_residual,CV02,19,9750,0.11491443305979263,2.014049738518458,0.08120918854548528,0.21692639622499219,0.2481789629144826
a02_exact_rbf_residual,CV02,19,9750,0.23759676530835608,4.164243692462329,0.19464551550739947,0.36995174862657265,0.37621321316172107
ridge_residual,CV02,20,9750,0.06374803531560544,1.117281010224846,0.04828877178481444,0.10522734161215425,0.12297995171368177
random_feature_rbf_residual,CV02,20,9750,0.0757712182229009,1.328005527118196,0.06365335664767241,0.13043817567471727,0.13375706792064507
compressed_mlp_residual,CV02,20,9750,0.0957186775365339,1.6776150073636067,0.0825742942563809,0.15238882893015918,0.17178764289470957
a02_exact_rbf_residual,CV02,20,9750,0.23759676530835608,4.164243692462329,0.19464551550739947,0.36995174862657265,0.37621321316172107
ridge_residual,CV03,1,9750,0.0564292856450806,0.9535690310510349,0.04717905872587471,0.08270583398564217,0.09281836928351402
random_feature_rbf_residual,CV03,1,9750,0.06602429714034767,1.1157101198468842,0.053377144173547046,0.11126293773755379,0.11891008383449968
compressed_mlp_residual,CV03,1,9750,0.11601196101095514,1.9604255483108537,0.09091776355110444,0.1884026025596729,0.22783741154682607
a02_exact_rbf_residual,CV03,1,9750,0.11196177730049084,1.8919836087715602,0.0922424241339252,0.18673514838295593,0.2024283429712456
