model_id,fold_id,seed_index,validation_rows,threshold,brier,auroc,recall,precision,false_negative_rate,false_positive_rate,expected_calibration_error,intervention_rate
calibrated_logistic,CV02,12,9750,0.3309248900533076,0.2181631586000137,0.6665612403100776,0.9927272727272727,0.5076708507670851,0.007272727272727273,0.4925581395348837,0.23750044359088945,0.6618461538461539
class_weighted_tree,CV02,12,9750,0.7365243745310737,0.2252671839554494,0.659910523843082,0.06727272727272728,0.5796344647519582,0.9327272727272727,0.02496124031007752,0.27477665797479817,0.039282051282051283
a02_exact_rbf_feasibility,CV02,12,9750,0.176101572327525,0.21824472512470358,0.7945857176415316,0.633030303030303,0.5555851063829788,0.36696969696969695,0.25906976744186044,0.20248712296008448,0.38564102564102565
calibrated_logistic,CV02,13,9750,0.3309248900533076,0.2181631586000137,0.6665612403100776,0.9927272727272727,0.5076708507670851,0.007272727272727273,0.4925581395348837,0.23750044359088945,0.6618461538461539
class_weighted_tree,CV02,13,9750,0.7560097550897955,0.21676227326628406,0.677022621564482,0.019393939393939394,0.6464646464646465,0.9806060606060606,0.005426356589147287,0.24884153765565203,0.010153846153846154
a02_exact_rbf_feasibility,CV02,13,9750,0.176101572327525,0.21824472512470358,0.7945857176415316,0.633030303030303,0.5555851063829788,0.36696969696969695,0.25906976744186044,0.20248712296008448,0.38564102564102565
calibrated_logistic,CV02,14,9750,0.3309248900533076,0.2181631586000137,0.6665612403100776,0.9927272727272727,0.5076708507670851,0.007272727272727273,0.4925581395348837,0.23750044359088945,0.6618461538461539
class_weighted_tree,CV02,14,9750,0.7488851528937508,0.2821151903778458,0.435608104298802,0.03909090909090909,0.6201923076923077,0.9609090909090909,0.012248062015503876,0.2560696160770365,0.021333333333333333
a02_exact_rbf_feasibility,CV02,14,9750,0.176101572327525,0.21824472512470358,0.7945857176415316,0.633030303030303,0.5555851063829788,0.36696969696969695,0.25906976744186044,0.20248712296008448,0.38564102564102565
calibrated_logistic,CV02,15,9750,0.3309248900533076,0.2181631586000137,0.6665612403100776,0.9927272727272727,0.5076708507670851,0.007272727272727273,0.4925581395348837,0.23750044359088945,0.6618461538461539
class_weighted_tree,CV02,15,9750,0.7482397344022387,0.24807689014569628,0.612873831336622,0.03878787878787879,0.6881720430107527,0.9612121212121212,0.008992248062015503,0.2681226825479806,0.019076923076923078
a02_exact_rbf_feasibility,CV02,15,9750,0.176101572327525,0.21824472512470358,0.7945857176415316,0.633030303030303,0.5555851063829788,0.36696969696969695,0.25906976744186044,0.20248712296008448,0.38564102564102565
