outer_fold,seed_index,q,lambda,quantum_model_id,classical_model_id,quantum_delta_l2,classical_delta_l2,validation_outcomes_used
CV02,2,8,0.5,TSQR-08-L050,TAP-RBF-SHR-08-L050,0.7727721878093905,0.7650937591925868,0
CV02,3,4,0.1,TSQR-04-L010,TAP-RBF-SHR-04-L010,1.5986647087768249,1.4908277043342801,0
CV02,3,4,0.25,TSQR-04-L025,TAP-RBF-SHR-04-L025,1.5986647087768249,1.4908277043342801,0
CV02,3,4,0.5,TSQR-04-L050,TAP-RBF-SHR-04-L050,1.5986647087768249,1.4908277043342801,0
CV02,3,6,0.1,TSQR-06-L010,TAP-RBF-SHR-06-L010,1.0076725638560504,0.9315940327325632,0
CV02,3,6,0.25,TSQR-06-L025,TAP-RBF-SHR-06-L025,1.0076725638560504,0.9315940327325632,0
CV02,3,6,0.5,TSQR-06-L050,TAP-RBF-SHR-06-L050,1.0076725638560504,0.9315940327325632,0
CV02,3,8,0.1,TSQR-08-L010,TAP-RBF-SHR-08-L010,0.7730202393780126,0.7654023388937976,0
CV02,3,8,0.25,TSQR-08-L025,TAP-RBF-SHR-08-L025,0.7730202393780126,0.7654023388937976,0
CV02,3,8,0.5,TSQR-08-L050,TAP-RBF-SHR-08-L050,0.7730202393780126,0.7654023388937976,0
CV02,4,4,0.1,TSQR-04-L010,TAP-RBF-SHR-04-L010,1.5986446317283096,1.4908238493938182,0
CV02,4,4,0.25,TSQR-04-L025,TAP-RBF-SHR-04-L025,1.5986446317283096,1.4908238493938182,0
CV02,4,4,0.5,TSQR-04-L050,TAP-RBF-SHR-04-L050,1.5986446317283096,1.4908238493938182,0
CV02,4,6,0.1,TSQR-06-L010,TAP-RBF-SHR-06-L010,1.0058808671296755,0.9315110466282643,0
CV02,4,6,0.25,TSQR-06-L025,TAP-RBF-SHR-06-L025,1.0058808671296755,0.9315110466282643,0
CV02,4,6,0.5,TSQR-06-L050,TAP-RBF-SHR-06-L050,1.0058808671296755,0.9315110466282643,0
CV02,4,8,0.1,TSQR-08-L010,TAP-RBF-SHR-08-L010,0.7724534389867348,0.7656149416084284,0
CV02,4,8,0.25,TSQR-08-L025,TAP-RBF-SHR-08-L025,0.7724534389867348,0.7656149416084284,0
CV02,4,8,0.5,TSQR-08-L050,TAP-RBF-SHR-08-L050,0.7724534389867348,0.7656149416084284,0
CV02,5,4,0.1,TSQR-04-L010,TAP-RBF-SHR-04-L010,1.5984317069093374,1.4908251227260878,0
CV02,5,4,0.25,TSQR-04-L025,TAP-RBF-SHR-04-L025,1.5984317069093374,1.4908251227260878,0
CV02,5,4,0.5,TSQR-04-L050,TAP-RBF-SHR-04-L050,1.5984317069093374,1.4908251227260878,0
CV02,5,6,0.1,TSQR-06-L010,TAP-RBF-SHR-06-L010,1.0050743855757518,0.9315126804105655,0
CV02,5,6,0.25,TSQR-06-L025,TAP-RBF-SHR-06-L025,1.0050743855757518,0.9315126804105655,0
CV02,5,6,0.5,TSQR-06-L050,TAP-RBF-SHR-06-L050,1.0050743855757518,0.9315126804105655,0
CV02,5,8,0.1,TSQR-08-L010,TAP-RBF-SHR-08-L010,0.7724458345793189,0.7653164551284733,0
CV02,5,8,0.25,TSQR-08-L025,TAP-RBF-SHR-08-L025,0.7724458345793189,0.7653164551284733,0
CV02,5,8,0.5,TSQR-08-L050,TAP-RBF-SHR-08-L050,0.7724458345793189,0.7653164551284733,0
CV02,6,4,0.1,TSQR-04-L010,TAP-RBF-SHR-04-L010,1.5982588577513857,1.4908277046073153,0
CV02,6,4,0.25,TSQR-04-L025,TAP-RBF-SHR-04-L025,1.5982588577513857,1.4908277046073153,0
CV02,6,4,0.5,TSQR-04-L050,TAP-RBF-SHR-04-L050,1.5982588577513857,1.4908277046073153,0
CV02,6,6,0.1,TSQR-06-L010,TAP-RBF-SHR-06-L010,1.0058010363709333,0.9315030508869145,0
CV02,6,6,0.25,TSQR-06-L025,TAP-RBF-SHR-06-L025,1.0058010363709333,0.9315030508869145,0
CV02,6,6,0.5,TSQR-06-L050,TAP-RBF-SHR-06-L050,1.0058010363709333,0.9315030508869145,0
CV02,6,8,0.1,TSQR-08-L010,TAP-RBF-SHR-08-L010,0.7730929780924012,0.7652154520389575,0
CV02,6,8,0.25,TSQR-08-L025,TAP-RBF-SHR-08-L025,0.7730929780924012,0.7652154520389575,0
CV02,6,8,0.5,TSQR-08-L050,TAP-RBF-SHR-08-L050,0.7730929780924012,0.7652154520389575,0
