outer_fold,seed_index,config_id,fit_rows,fit_features,validation_rows,projection_components,projection_hash,validation_outcomes_used
CV03,3,TSQR-04,1024,4,9750,4,71d7b4a8fc5e3ffd394a65497e1aa28236fd6b115034be1d63c14abe77747d6d,0
CV03,3,TSQR-06,1024,6,9750,6,064ad20cf191280345e62c7f2145fc57280f6914c267fedd9a987085b2e202a5,0
CV03,3,TSQR-08,1024,8,9750,8,0ffdfe1729a5fbe66b863f64abadcb1d4d5b4f693faf92038288aa01affb601a,0
CV03,4,TSQR-04,1024,4,9750,4,71d7b4a8fc5e3ffd394a65497e1aa28236fd6b115034be1d63c14abe77747d6d,0
CV03,4,TSQR-06,1024,6,9750,6,064ad20cf191280345e62c7f2145fc57280f6914c267fedd9a987085b2e202a5,0
CV03,4,TSQR-08,1024,8,9750,8,0ffdfe1729a5fbe66b863f64abadcb1d4d5b4f693faf92038288aa01affb601a,0
CV03,5,TSQR-04,1024,4,9750,4,71d7b4a8fc5e3ffd394a65497e1aa28236fd6b115034be1d63c14abe77747d6d,0
CV03,5,TSQR-06,1024,6,9750,6,064ad20cf191280345e62c7f2145fc57280f6914c267fedd9a987085b2e202a5,0
CV03,5,TSQR-08,1024,8,9750,8,0ffdfe1729a5fbe66b863f64abadcb1d4d5b4f693faf92038288aa01affb601a,0
CV03,6,TSQR-04,1024,4,9750,4,71d7b4a8fc5e3ffd394a65497e1aa28236fd6b115034be1d63c14abe77747d6d,0
CV03,6,TSQR-06,1024,6,9750,6,064ad20cf191280345e62c7f2145fc57280f6914c267fedd9a987085b2e202a5,0
CV03,6,TSQR-08,1024,8,9750,8,0ffdfe1729a5fbe66b863f64abadcb1d4d5b4f693faf92038288aa01affb601a,0
CV03,7,TSQR-04,1024,4,9750,4,71d7b4a8fc5e3ffd394a65497e1aa28236fd6b115034be1d63c14abe77747d6d,0
CV03,7,TSQR-06,1024,6,9750,6,064ad20cf191280345e62c7f2145fc57280f6914c267fedd9a987085b2e202a5,0
CV03,7,TSQR-08,1024,8,9750,8,0ffdfe1729a5fbe66b863f64abadcb1d4d5b4f693faf92038288aa01affb601a,0
CV03,8,TSQR-04,1024,4,9750,4,71d7b4a8fc5e3ffd394a65497e1aa28236fd6b115034be1d63c14abe77747d6d,0
CV03,8,TSQR-06,1024,6,9750,6,064ad20cf191280345e62c7f2145fc57280f6914c267fedd9a987085b2e202a5,0
CV03,8,TSQR-08,1024,8,9750,8,0ffdfe1729a5fbe66b863f64abadcb1d4d5b4f693faf92038288aa01affb601a,0
CV03,9,TSQR-04,1024,4,9750,4,71d7b4a8fc5e3ffd394a65497e1aa28236fd6b115034be1d63c14abe77747d6d,0
CV03,9,TSQR-06,1024,6,9750,6,064ad20cf191280345e62c7f2145fc57280f6914c267fedd9a987085b2e202a5,0
CV03,9,TSQR-08,1024,8,9750,8,0ffdfe1729a5fbe66b863f64abadcb1d4d5b4f693faf92038288aa01affb601a,0
CV03,10,TSQR-04,1024,4,9750,4,71d7b4a8fc5e3ffd394a65497e1aa28236fd6b115034be1d63c14abe77747d6d,0
CV03,10,TSQR-06,1024,6,9750,6,064ad20cf191280345e62c7f2145fc57280f6914c267fedd9a987085b2e202a5,0
CV03,10,TSQR-08,1024,8,9750,8,0ffdfe1729a5fbe66b863f64abadcb1d4d5b4f693faf92038288aa01affb601a,0
CV03,11,TSQR-04,1024,4,9750,4,71d7b4a8fc5e3ffd394a65497e1aa28236fd6b115034be1d63c14abe77747d6d,0
CV03,11,TSQR-06,1024,6,9750,6,064ad20cf191280345e62c7f2145fc57280f6914c267fedd9a987085b2e202a5,0
CV03,11,TSQR-08,1024,8,9750,8,0ffdfe1729a5fbe66b863f64abadcb1d4d5b4f693faf92038288aa01affb601a,0
CV03,12,TSQR-04,1024,4,9750,4,71d7b4a8fc5e3ffd394a65497e1aa28236fd6b115034be1d63c14abe77747d6d,0
CV03,12,TSQR-06,1024,6,9750,6,064ad20cf191280345e62c7f2145fc57280f6914c267fedd9a987085b2e202a5,0
CV03,12,TSQR-08,1024,8,9750,8,0ffdfe1729a5fbe66b863f64abadcb1d4d5b4f693faf92038288aa01affb601a,0
CV03,13,TSQR-04,1024,4,9750,4,71d7b4a8fc5e3ffd394a65497e1aa28236fd6b115034be1d63c14abe77747d6d,0
CV03,13,TSQR-06,1024,6,9750,6,064ad20cf191280345e62c7f2145fc57280f6914c267fedd9a987085b2e202a5,0
CV03,13,TSQR-08,1024,8,9750,8,0ffdfe1729a5fbe66b863f64abadcb1d4d5b4f693faf92038288aa01affb601a,0
CV03,14,TSQR-04,1024,4,9750,4,71d7b4a8fc5e3ffd394a65497e1aa28236fd6b115034be1d63c14abe77747d6d,0
CV03,14,TSQR-06,1024,6,9750,6,064ad20cf191280345e62c7f2145fc57280f6914c267fedd9a987085b2e202a5,0
CV03,14,TSQR-08,1024,8,9750,8,0ffdfe1729a5fbe66b863f64abadcb1d4d5b4f693faf92038288aa01affb601a,0
CV03,15,TSQR-04,1024,4,9750,4,71d7b4a8fc5e3ffd394a65497e1aa28236fd6b115034be1d63c14abe77747d6d,0
CV03,15,TSQR-06,1024,6,9750,6,064ad20cf191280345e62c7f2145fc57280f6914c267fedd9a987085b2e202a5,0
CV03,15,TSQR-08,1024,8,9750,8,0ffdfe1729a5fbe66b863f64abadcb1d4d5b4f693faf92038288aa01affb601a,0
CV03,16,TSQR-04,1024,4,9750,4,71d7b4a8fc5e3ffd394a65497e1aa28236fd6b115034be1d63c14abe77747d6d,0
CV03,16,TSQR-06,1024,6,9750,6,064ad20cf191280345e62c7f2145fc57280f6914c267fedd9a987085b2e202a5,0
CV03,16,TSQR-08,1024,8,9750,8,0ffdfe1729a5fbe66b863f64abadcb1d4d5b4f693faf92038288aa01affb601a,0
