outer_fold,seed_index,q,orthogonalized_target_l2,first_stage_rbf25_l2,second_stage_fidelity_l2,second_stage_rbf50_l2,validation_outcomes_used,stage_order,channel_source
CV01,13,8,1.2724155597639901,0.8628856055094032,1.718534855538594,0.21502213887898453,0,shared_rbf25_then_e2_second_stage,inner_oof_rbf25_orthogonalized_target
CV01,14,4,1.420785457394759,0.7054967480155308,1.1376792721197324,0.3789377771113934,0,shared_rbf25_then_e2_second_stage,inner_oof_rbf25_orthogonalized_target
CV01,14,6,1.1940159611315,0.771937125476872,1.4235094708127007,0.3353043774834452,0,shared_rbf25_then_e2_second_stage,inner_oof_rbf25_orthogonalized_target
CV01,14,8,1.271669628918096,0.861419929899168,1.7724515599211377,0.2058321034979156,0,shared_rbf25_then_e2_second_stage,inner_oof_rbf25_orthogonalized_target
CV01,15,4,1.4208171034192367,0.7053439848762496,1.1377486774259928,0.3724008399529168,0,shared_rbf25_then_e2_second_stage,inner_oof_rbf25_orthogonalized_target
CV01,15,6,1.1948292050422058,0.7725935336043037,1.4319928777654898,0.3383606657155452,0,shared_rbf25_then_e2_second_stage,inner_oof_rbf25_orthogonalized_target
CV01,15,8,1.271414014498456,0.8598130698606561,1.7402711994197144,0.20632967296897375,0,shared_rbf25_then_e2_second_stage,inner_oof_rbf25_orthogonalized_target
CV01,16,4,1.4207869214243194,0.7041732042484921,1.1378732023517306,0.3775915660548854,0,shared_rbf25_then_e2_second_stage,inner_oof_rbf25_orthogonalized_target
CV01,16,6,1.1961896945773307,0.7727794065019105,1.4291698224939713,0.34046490458500933,0,shared_rbf25_then_e2_second_stage,inner_oof_rbf25_orthogonalized_target
CV01,16,8,1.2718390686468226,0.8596258744116936,1.7373276867574956,0.20606666375781546,0,shared_rbf25_then_e2_second_stage,inner_oof_rbf25_orthogonalized_target
CV01,17,4,1.4207308531337057,0.7044744033105453,1.137578457754981,0.372735635945907,0,shared_rbf25_then_e2_second_stage,inner_oof_rbf25_orthogonalized_target
CV01,17,6,1.1946401430874958,0.7730735516378557,1.4218104380733314,0.3359837611645878,0,shared_rbf25_then_e2_second_stage,inner_oof_rbf25_orthogonalized_target
CV01,17,8,1.2720946366593855,0.8602472604017408,1.7413553735516745,0.20647948173319117,0,shared_rbf25_then_e2_second_stage,inner_oof_rbf25_orthogonalized_target
CV01,18,4,1.4207652377622533,0.7061612780675174,1.1378056466084396,0.37814153069735335,0,shared_rbf25_then_e2_second_stage,inner_oof_rbf25_orthogonalized_target
CV01,18,6,1.194661896827869,0.7726263143842271,1.4290604957964592,0.3393390717936371,0,shared_rbf25_then_e2_second_stage,inner_oof_rbf25_orthogonalized_target
CV01,18,8,1.2720493268206987,0.861142998174514,1.7196968695489725,0.20308115051178047,0,shared_rbf25_then_e2_second_stage,inner_oof_rbf25_orthogonalized_target
CV01,19,4,1.4208040010390606,0.7048435211896844,1.1378498810056912,0.3741338628960748,0,shared_rbf25_then_e2_second_stage,inner_oof_rbf25_orthogonalized_target
CV01,19,6,1.1942734281502636,0.7736202312954842,1.434852346025756,0.34508393570731644,0,shared_rbf25_then_e2_second_stage,inner_oof_rbf25_orthogonalized_target
CV01,19,8,1.2716981777114276,0.8601709113154958,1.7462035845235617,0.2071818421746755,0,shared_rbf25_then_e2_second_stage,inner_oof_rbf25_orthogonalized_target
CV01,20,4,1.4207925808193922,0.7052547684423625,1.1379007989543397,0.37455450066778656,0,shared_rbf25_then_e2_second_stage,inner_oof_rbf25_orthogonalized_target
CV01,20,6,1.1946736153918749,0.7724936088859267,1.4226417785879224,0.3380840954797115,0,shared_rbf25_then_e2_second_stage,inner_oof_rbf25_orthogonalized_target
CV01,20,8,1.26920167510894,0.8593758133477454,1.7600867250422605,0.20739823370881996,0,shared_rbf25_then_e2_second_stage,inner_oof_rbf25_orthogonalized_target
CV02,1,4,0.6278428108221589,1.5035508274969607,1.4328393355573152,1.9261569303646764,0,shared_rbf25_then_e2_second_stage,inner_oof_rbf25_orthogonalized_target
CV02,1,6,0.647862042162403,1.0179742423238602,1.8119961900054278,0.5169943517751676,0,shared_rbf25_then_e2_second_stage,inner_oof_rbf25_orthogonalized_target
CV02,1,8,0.5956535477625088,0.7723119128029785,0.8927588567578479,0.6148745324607633,0,shared_rbf25_then_e2_second_stage,inner_oof_rbf25_orthogonalized_target
CV02,2,4,0.6278908928871919,1.5035253980490266,1.4334195579956235,1.9260008177826482,0,shared_rbf25_then_e2_second_stage,inner_oof_rbf25_orthogonalized_target
CV02,2,6,0.6478071580533363,1.0177403223640715,1.794804534757729,0.5171648838403682,0,shared_rbf25_then_e2_second_stage,inner_oof_rbf25_orthogonalized_target
CV02,2,8,0.5956321671811997,0.772296549529478,0.8675973964472159,0.6135467475656128,0,shared_rbf25_then_e2_second_stage,inner_oof_rbf25_orthogonalized_target
CV02,3,4,0.6276953499509617,1.503558443648322,1.4340827668408112,1.9260855453597405,0,shared_rbf25_then_e2_second_stage,inner_oof_rbf25_orthogonalized_target
CV02,3,6,0.6479331483521182,1.0181307260037522,1.793935032322922,0.5168731910540062,0,shared_rbf25_then_e2_second_stage,inner_oof_rbf25_orthogonalized_target
CV02,3,8,0.5954842618899718,0.7727784509627412,0.8852515257728051,0.6158520472675098,0,shared_rbf25_then_e2_second_stage,inner_oof_rbf25_orthogonalized_target
CV02,4,4,0.6276929280834608,1.5035185044395574,1.4342848494425877,1.9262001029316478,0,shared_rbf25_then_e2_second_stage,inner_oof_rbf25_orthogonalized_target
CV02,4,6,0.6478812854419246,1.0180779605932015,1.8101889282235888,0.5165651049515848,0,shared_rbf25_then_e2_second_stage,inner_oof_rbf25_orthogonalized_target
CV02,4,8,0.5956112409554141,0.7724505134366514,0.8822353290135218,0.611127237865491,0,shared_rbf25_then_e2_second_stage,inner_oof_rbf25_orthogonalized_target
CV02,5,4,0.6278054747686914,1.5035260548351606,1.4415685491527537,1.9262207104450015,0,shared_rbf25_then_e2_second_stage,inner_oof_rbf25_orthogonalized_target
CV02,5,6,0.6478550135223158,1.0181242819009761,1.8065353847206618,0.5173844442570037,0,shared_rbf25_then_e2_second_stage,inner_oof_rbf25_orthogonalized_target
CV02,5,8,0.595836046824757,0.772745188761197,0.9053930259051227,0.6149625315563616,0,shared_rbf25_then_e2_second_stage,inner_oof_rbf25_orthogonalized_target
CV02,6,4,0.627782524591035,1.5034961224053924,1.4400217011377014,1.9263000457564967,0,shared_rbf25_then_e2_second_stage,inner_oof_rbf25_orthogonalized_target
CV02,6,6,0.6479003309495649,1.0180198993378784,1.794883118682277,0.5173362656693838,0,shared_rbf25_then_e2_second_stage,inner_oof_rbf25_orthogonalized_target
CV02,6,8,0.5955817465569767,0.7719854843950158,0.8963954063057717,0.6129203069741879,0,shared_rbf25_then_e2_second_stage,inner_oof_rbf25_orthogonalized_target
CV02,7,4,0.6279291506086829,1.5034898938479246,1.432618246359794,1.9259476265574882,0,shared_rbf25_then_e2_second_stage,inner_oof_rbf25_orthogonalized_target
CV02,7,6,0.6479571643288847,1.0178925847507074,1.803168143704314,0.5161743152038964,0,shared_rbf25_then_e2_second_stage,inner_oof_rbf25_orthogonalized_target
CV02,7,8,0.5956500145375423,0.7724434152352601,0.9003263749392442,0.6124676921344135,0,shared_rbf25_then_e2_second_stage,inner_oof_rbf25_orthogonalized_target
CV02,8,4,0.6281647461750075,1.5035005619974111,1.4547734454108847,1.9256096829450071,0,shared_rbf25_then_e2_second_stage,inner_oof_rbf25_orthogonalized_target
CV02,8,6,0.6479337426387135,1.018112176218874,1.7877678835363924,0.5175195741242646,0,shared_rbf25_then_e2_second_stage,inner_oof_rbf25_orthogonalized_target
CV02,8,8,0.5958826573192582,0.7724677408797037,0.8659788938234653,0.6157671010466766,0,shared_rbf25_then_e2_second_stage,inner_oof_rbf25_orthogonalized_target
CV02,9,4,0.6276342090782215,1.5035724136046549,1.4336356797228924,1.9262950409675088,0,shared_rbf25_then_e2_second_stage,inner_oof_rbf25_orthogonalized_target
CV02,9,6,0.6478534117139682,1.0181274181149627,1.8038288814653174,0.5166653619871006,0,shared_rbf25_then_e2_second_stage,inner_oof_rbf25_orthogonalized_target
CV02,9,8,0.5957717486237579,0.7726572477749997,0.8874522917932385,0.6137680678861119,0,shared_rbf25_then_e2_second_stage,inner_oof_rbf25_orthogonalized_target
