outer_fold,seed_index,q,candidate_id,control_id,fidelity_delta_l2,rbf25_delta_l2,rbf50_delta_l2,candidate_weight,control_weight,residual_target_rows,channel_fit_rows,validation_outcomes_used,channel_source
CV02,9,8,SFRK-08-CV,TWO-RBF-08-CV,0.5600979428978119,0.7728130270407547,0.7431358682178983,0.9891553478267026,1.0,1024,1024,0,same_cross_fitted_c06_residual
CV02,10,4,SFRK-04-CV,TWO-RBF-04-CV,1.9511369841876538,1.5035423844069786,1.7507200929936975,0.2856985774734433,1.0,1024,1024,0,same_cross_fitted_c06_residual
CV02,10,6,SFRK-06-CV,TWO-RBF-06-CV,1.7184713565413314,1.0180629044006022,1.0875502562248307,0.6287099404115686,1.0,1024,1024,0,same_cross_fitted_c06_residual
CV02,10,8,SFRK-08-CV,TWO-RBF-08-CV,0.5486764428369357,0.7724835307764131,0.7432092068325173,1.0,1.0,1024,1024,0,same_cross_fitted_c06_residual
CV02,11,4,SFRK-04-CV,TWO-RBF-04-CV,1.9511369871153974,1.503589064040319,1.7505737780512707,0.28543519966560266,1.0,1024,1024,0,same_cross_fitted_c06_residual
CV02,11,6,SFRK-06-CV,TWO-RBF-06-CV,1.7378176943244308,1.0181118599245915,1.0879988925429016,0.63143644808741,1.0,1024,1024,0,same_cross_fitted_c06_residual
CV02,11,8,SFRK-08-CV,TWO-RBF-08-CV,0.5486624546842485,0.7721896319313627,0.7427363917089855,1.0,1.0,1024,1024,0,same_cross_fitted_c06_residual
CV02,12,4,SFRK-04-CV,TWO-RBF-04-CV,1.9511369894919497,1.5035510108278636,1.7506665473477758,0.285973203271566,1.0,1024,1024,0,same_cross_fitted_c06_residual
CV02,12,6,SFRK-06-CV,TWO-RBF-06-CV,1.7225755898121797,1.0180626594553868,1.0879516574948649,0.6258429663065752,1.0,1024,1024,0,same_cross_fitted_c06_residual
CV02,12,8,SFRK-08-CV,TWO-RBF-08-CV,0.5534588893956243,0.772600756181951,0.7437270387119045,1.0,1.0,1024,1024,0,same_cross_fitted_c06_residual
CV02,13,4,SFRK-04-CV,TWO-RBF-04-CV,1.951136987652159,1.5035176878419663,1.7506869905061457,0.28582044780296917,1.0,1024,1024,0,same_cross_fitted_c06_residual
