outer_fold,seed_index,q,inner_fold,fit_rows,holdout_rows,fit_groups,holdout_groups,group_intersection_count,channel_source,validation_outcomes_used,candidate_weight,candidate_numerator,candidate_denominator,control_weight,control_numerator,control_denominator,weight_source
CV01,5,6,2,701,323,G01;G02;G04;G08;G09;G10;G11,G05;G07;G12,0,inner_fit_only_cross_fitted_c06_residual,0,,,,,,,
CV01,5,6,3,836,188,G01;G02;G04;G05;G07;G10;G11;G12,G08;G09,0,inner_fit_only_cross_fitted_c06_residual,0,,,,,,,
CV01,5,6,4,715,309,G02;G05;G07;G08;G09;G10;G12,G01;G04;G11,0,inner_fit_only_cross_fitted_c06_residual,0,,,,,,,
CV01,5,6,aggregate,1024,1024,,,,,0,1.0,0.4491650862534615,0.27028970276640435,0.0,-0.09229346310559294,0.04427710627296821,inner_grouped_out_of_fold_training_predictions
CV01,5,8,1,820,204,G01;G04;G05;G07;G08;G09;G11;G12,G02;G10,0,inner_fit_only_cross_fitted_c06_residual,0,,,,,,,
CV01,5,8,2,701,323,G01;G02;G04;G08;G09;G10;G11,G05;G07;G12,0,inner_fit_only_cross_fitted_c06_residual,0,,,,,,,
CV01,5,8,3,836,188,G01;G02;G04;G05;G07;G10;G11;G12,G08;G09,0,inner_fit_only_cross_fitted_c06_residual,0,,,,,,,
CV01,5,8,4,715,309,G02;G05;G07;G08;G09;G10;G12,G01;G04;G11,0,inner_fit_only_cross_fitted_c06_residual,0,,,,,,,
CV01,5,8,aggregate,1024,1024,,,,,0,1.0,0.5568183754761529,0.39213809299685287,0.0,-0.1329166259620564,0.05450001189297876,inner_grouped_out_of_fold_training_predictions
CV01,6,4,1,820,204,G01;G04;G05;G07;G08;G09;G11;G12,G02;G10,0,inner_fit_only_cross_fitted_c06_residual,0,,,,,,,
CV01,6,4,2,701,323,G01;G02;G04;G08;G09;G10;G11,G05;G07;G12,0,inner_fit_only_cross_fitted_c06_residual,0,,,,,,,
CV01,6,4,3,836,188,G01;G02;G04;G05;G07;G10;G11;G12,G08;G09,0,inner_fit_only_cross_fitted_c06_residual,0,,,,,,,
CV01,6,4,4,715,309,G02;G05;G07;G08;G09;G10;G12,G01;G04;G11,0,inner_fit_only_cross_fitted_c06_residual,0,,,,,,,
CV01,6,4,aggregate,1024,1024,,,,,0,1.0,0.8488549125243423,0.7845028348347055,0.7793851360532006,0.023128061826865262,0.029674753542241722,inner_grouped_out_of_fold_training_predictions
CV01,6,6,1,820,204,G01;G04;G05;G07;G08;G09;G11;G12,G02;G10,0,inner_fit_only_cross_fitted_c06_residual,0,,,,,,,
CV01,6,6,2,701,323,G01;G02;G04;G08;G09;G10;G11,G05;G07;G12,0,inner_fit_only_cross_fitted_c06_residual,0,,,,,,,
CV01,6,6,3,836,188,G01;G02;G04;G05;G07;G10;G11;G12,G08;G09,0,inner_fit_only_cross_fitted_c06_residual,0,,,,,,,
CV01,6,6,4,715,309,G02;G05;G07;G08;G09;G10;G12,G01;G04;G11,0,inner_fit_only_cross_fitted_c06_residual,0,,,,,,,
CV01,6,6,aggregate,1024,1024,,,,,0,1.0,0.4573672949330858,0.2734881423494443,0.0,-0.09295066059269713,0.04480500361490393,inner_grouped_out_of_fold_training_predictions
CV01,6,8,1,820,204,G01;G04;G05;G07;G08;G09;G11;G12,G02;G10,0,inner_fit_only_cross_fitted_c06_residual,0,,,,,,,
CV01,6,8,2,701,323,G01;G02;G04;G08;G09;G10;G11,G05;G07;G12,0,inner_fit_only_cross_fitted_c06_residual,0,,,,,,,
CV01,6,8,3,836,188,G01;G02;G04;G05;G07;G10;G11;G12,G08;G09,0,inner_fit_only_cross_fitted_c06_residual,0,,,,,,,
CV01,6,8,4,715,309,G02;G05;G07;G08;G09;G10;G12,G01;G04;G11,0,inner_fit_only_cross_fitted_c06_residual,0,,,,,,,
CV01,6,8,aggregate,1024,1024,,,,,0,1.0,0.5843106031917394,0.4243398043961118,0.0,-0.1321297921554216,0.054021744739393404,inner_grouped_out_of_fold_training_predictions
CV01,7,4,1,820,204,G01;G04;G05;G07;G08;G09;G11;G12,G02;G10,0,inner_fit_only_cross_fitted_c06_residual,0,,,,,,,
CV01,7,4,2,701,323,G01;G02;G04;G08;G09;G10;G11,G05;G07;G12,0,inner_fit_only_cross_fitted_c06_residual,0,,,,,,,
CV01,7,4,3,836,188,G01;G02;G04;G05;G07;G10;G11;G12,G08;G09,0,inner_fit_only_cross_fitted_c06_residual,0,,,,,,,
CV01,7,4,4,715,309,G02;G05;G07;G08;G09;G10;G12,G01;G04;G11,0,inner_fit_only_cross_fitted_c06_residual,0,,,,,,,
CV01,7,4,aggregate,1024,1024,,,,,0,1.0,0.8482886593138806,0.7835908399544669,0.7595981251313735,0.022558466454828112,0.029697896438233833,inner_grouped_out_of_fold_training_predictions
CV01,7,6,1,820,204,G01;G04;G05;G07;G08;G09;G11;G12,G02;G10,0,inner_fit_only_cross_fitted_c06_residual,0,,,,,,,
CV01,7,6,2,701,323,G01;G02;G04;G08;G09;G10;G11,G05;G07;G12,0,inner_fit_only_cross_fitted_c06_residual,0,,,,,,,
CV01,7,6,3,836,188,G01;G02;G04;G05;G07;G10;G11;G12,G08;G09,0,inner_fit_only_cross_fitted_c06_residual,0,,,,,,,
CV01,7,6,4,715,309,G02;G05;G07;G08;G09;G10;G12,G01;G04;G11,0,inner_fit_only_cross_fitted_c06_residual,0,,,,,,,
CV01,7,6,aggregate,1024,1024,,,,,0,1.0,0.4473507794294855,0.2642996170545832,0.0,-0.09248059734494138,0.044335165502782575,inner_grouped_out_of_fold_training_predictions
CV01,7,8,1,820,204,G01;G04;G05;G07;G08;G09;G11;G12,G02;G10,0,inner_fit_only_cross_fitted_c06_residual,0,,,,,,,
CV01,7,8,2,701,323,G01;G02;G04;G08;G09;G10;G11,G05;G07;G12,0,inner_fit_only_cross_fitted_c06_residual,0,,,,,,,
CV01,7,8,3,836,188,G01;G02;G04;G05;G07;G10;G11;G12,G08;G09,0,inner_fit_only_cross_fitted_c06_residual,0,,,,,,,
CV01,7,8,4,715,309,G02;G05;G07;G08;G09;G10;G12,G01;G04;G11,0,inner_fit_only_cross_fitted_c06_residual,0,,,,,,,
CV01,7,8,aggregate,1024,1024,,,,,0,1.0,0.5721338772208999,0.423509177231529,0.0,-0.13071021726191254,0.052461747648244315,inner_grouped_out_of_fold_training_predictions
CV01,8,4,1,820,204,G01;G04;G05;G07;G08;G09;G11;G12,G02;G10,0,inner_fit_only_cross_fitted_c06_residual,0,,,,,,,
CV01,8,4,2,701,323,G01;G02;G04;G08;G09;G10;G11,G05;G07;G12,0,inner_fit_only_cross_fitted_c06_residual,0,,,,,,,
CV01,8,4,3,836,188,G01;G02;G04;G05;G07;G10;G11;G12,G08;G09,0,inner_fit_only_cross_fitted_c06_residual,0,,,,,,,
CV01,8,4,4,715,309,G02;G05;G07;G08;G09;G10;G12,G01;G04;G11,0,inner_fit_only_cross_fitted_c06_residual,0,,,,,,,
CV01,8,4,aggregate,1024,1024,,,,,0,1.0,0.8483171017415492,0.7836143269693743,0.7531439635553199,0.022383608439566452,0.02972022551160278,inner_grouped_out_of_fold_training_predictions
CV01,8,6,1,820,204,G01;G04;G05;G07;G08;G09;G11;G12,G02;G10,0,inner_fit_only_cross_fitted_c06_residual,0,,,,,,,
CV01,8,6,2,701,323,G01;G02;G04;G08;G09;G10;G11,G05;G07;G12,0,inner_fit_only_cross_fitted_c06_residual,0,,,,,,,
CV01,8,6,3,836,188,G01;G02;G04;G05;G07;G10;G11;G12,G08;G09,0,inner_fit_only_cross_fitted_c06_residual,0,,,,,,,
CV01,8,6,4,715,309,G02;G05;G07;G08;G09;G10;G12,G01;G04;G11,0,inner_fit_only_cross_fitted_c06_residual,0,,,,,,,
CV01,8,6,aggregate,1024,1024,,,,,0,1.0,0.4268409065213077,0.24890286760843933,0.0,-0.09223958604784695,0.04459932766377178,inner_grouped_out_of_fold_training_predictions
CV01,8,8,1,820,204,G01;G04;G05;G07;G08;G09;G11;G12,G02;G10,0,inner_fit_only_cross_fitted_c06_residual,0,,,,,,,
CV01,8,8,2,701,323,G01;G02;G04;G08;G09;G10;G11,G05;G07;G12,0,inner_fit_only_cross_fitted_c06_residual,0,,,,,,,
CV01,8,8,3,836,188,G01;G02;G04;G05;G07;G10;G11;G12,G08;G09,0,inner_fit_only_cross_fitted_c06_residual,0,,,,,,,
CV01,8,8,4,715,309,G02;G05;G07;G08;G09;G10;G12,G01;G04;G11,0,inner_fit_only_cross_fitted_c06_residual,0,,,,,,,
CV01,8,8,aggregate,1024,1024,,,,,0,1.0,0.5782835769186934,0.42815689368201115,0.0,-0.1294584641163642,0.05218030057068104,inner_grouped_out_of_fold_training_predictions
CV01,9,4,1,820,204,G01;G04;G05;G07;G08;G09;G11;G12,G02;G10,0,inner_fit_only_cross_fitted_c06_residual,0,,,,,,,
CV01,9,4,2,701,323,G01;G02;G04;G08;G09;G10;G11,G05;G07;G12,0,inner_fit_only_cross_fitted_c06_residual,0,,,,,,,
