outer_fold,seed_index,q,candidate_id,control_id,fidelity_delta_l2,rbf25_delta_l2,rbf50_delta_l2,candidate_interaction_norm,control_interaction_norm,residual_target_rows,channel_fit_rows,validation_outcomes_used,channel_source
CV02,13,6,NIFRK-06-NL,TWO-RBF-06-NL,1.7204741795291747,1.0182148186940687,1.0883964416063296,0.6305535040947206,1.124904746499974,1024,1024,0,same_cross_fitted_c06_residual
CV02,13,8,NIFRK-08-NL,TWO-RBF-08-NL,0.5613494342255769,0.7722677365988052,0.7422339176839045,0.48324349090744906,0.8307298680881439,1024,1024,0,same_cross_fitted_c06_residual
CV02,14,4,NIFRK-04-NL,TWO-RBF-04-NL,1.9511369867184225,1.5035642697487834,1.7508664904142903,1.2304520875622784,1.1563143474994886,1024,1024,0,same_cross_fitted_c06_residual
CV02,14,6,NIFRK-06-NL,TWO-RBF-06-NL,1.7353431266621908,1.017968707469147,1.087554415392892,0.6515904179902181,1.1231718253054666,1024,1024,0,same_cross_fitted_c06_residual
CV02,14,8,NIFRK-08-NL,TWO-RBF-08-NL,0.5551797282932595,0.7727305720662716,0.742006199891048,0.4837305264582599,0.8294707969213343,1024,1024,0,same_cross_fitted_c06_residual
CV02,15,4,NIFRK-04-NL,TWO-RBF-04-NL,1.9511369854485827,1.503555005064093,1.7507733403908394,1.2309350902826892,1.1564321782603129,1024,1024,0,same_cross_fitted_c06_residual
CV02,15,6,NIFRK-06-NL,TWO-RBF-06-NL,1.7248173760425698,1.0181162397438648,1.0881257655395402,0.6391983377892209,1.1217779169357809,1024,1024,0,same_cross_fitted_c06_residual
CV02,15,8,NIFRK-08-NL,TWO-RBF-08-NL,0.5542159255011211,0.7725901802743667,0.7426478966133071,0.4806347559119689,0.8283746777626042,1024,1024,0,same_cross_fitted_c06_residual
CV02,16,4,NIFRK-04-NL,TWO-RBF-04-NL,1.9511369858219032,1.5035334138047993,1.7507235782108763,1.2288507852665647,1.1553039730908048,1024,1024,0,same_cross_fitted_c06_residual
CV02,16,6,NIFRK-06-NL,TWO-RBF-06-NL,1.7228234942337584,1.018066715128327,1.0883148953680002,0.6425220066643987,1.1235752503450802,1024,1024,0,same_cross_fitted_c06_residual
CV02,16,8,NIFRK-08-NL,TWO-RBF-08-NL,0.5563075288682582,0.7723704772032669,0.7415806826749142,0.4823509913141367,0.8323483516121916,1024,1024,0,same_cross_fitted_c06_residual
CV02,17,4,NIFRK-04-NL,TWO-RBF-04-NL,1.951136986182835,1.5035495575064095,1.7509146762906251,1.230304023287832,1.1561791807528798,1024,1024,0,same_cross_fitted_c06_residual
