outer_fold,seed_index,grid,candidate_losses,control_losses,candidate_lambda,control_lambda,selection_source,validation_outcomes_used
CV01,15,0.05;0.10;0.15,0.0006765889343344462;0.00071748808806211;0.0007634986436609219,0.0006995881548514001;0.0007713751205914233;0.0008561620796980005,0.05,0.05,outer_training_inner_oof_only,0
CV01,16,0.05;0.10;0.15,0.0006756161806290168;0.0007155038712309304;0.0007604642542836716,0.0006988977223993677;0.0007699315149820845;0.0008539025602260812,0.05,0.05,outer_training_inner_oof_only,0
CV01,17,0.05;0.10;0.15,0.0006771687901694654;0.0007187337454093385;0.0007654960481975499,0.0006995812914456013;0.0007713687975023078;0.0008561637006480504,0.05,0.05,outer_training_inner_oof_only,0
CV01,18,0.05;0.10;0.15,0.0006777997611394659;0.0007199809069449508;0.0007673446198943855,0.000698953432072102;0.0007700288474667791;0.0008540274286619617,0.05,0.05,outer_training_inner_oof_only,0
CV01,19,0.05;0.10;0.15,0.0006786452819026109;0.0007217280627744062;0.0007700495250933166,0.0006990145751836886;0.0007701694739838344;0.0008542658788783678,0.05,0.05,outer_training_inner_oof_only,0
CV01,20,0.05;0.10;0.15,0.0006775453561617653;0.0007194184001498378;0.0007664203144421477,0.0006992703415981152;0.0007707011246016035;0.0008550935314883951,0.05,0.05,outer_training_inner_oof_only,0
CV02,1,0.05;0.10;0.15,0.0002542912478700021;0.0002605902784538797;0.0002675657620831448,0.0002619212962820993;0.0002792779109259871;0.0003007385142631754,0.05,0.05,outer_training_inner_oof_only,0
CV02,2,0.05;0.10;0.15,0.0002540560036762133;0.000260103376972687;0.0002668107902209334,0.0002619311621403721;0.0002792958330795223;0.0003007626831489624,0.05,0.05,outer_training_inner_oof_only,0
CV02,3,0.05;0.10;0.15,0.000254188813896024;0.0002603712174564978;0.0002672158810129332,0.0002619023030082298;0.0002792448923623803;0.0003006964383939632,0.05,0.05,outer_training_inner_oof_only,0
CV02,4,0.05;0.10;0.15,0.0002543412448724147;0.0002606885223839634;0.000267710502866158,0.0002619189235417409;0.000279269008902895;0.0003007189264149741,0.05,0.05,outer_training_inner_oof_only,0
CV02,5,0.05;0.10;0.15,0.0002541589028989015;0.000260300906701385;0.0002670946817389623,0.0002619360589504569;0.0002793103376377579;0.0003007915063934147,0.05,0.05,outer_training_inner_oof_only,0
CV02,6,0.05;0.10;0.15,0.0002540201910532383;0.000260038584506748;0.0002667238506920413,0.0002618904738488351;0.0002792150375941376;0.0003006423615674193,0.05,0.05,outer_training_inner_oof_only,0
CV02,7,0.05;0.10;0.15,0.0002542332412586347;0.0002604836324338693;0.0002674198438572157,0.0002619084237686674;0.0002792478116122382;0.000300686833862224,0.05,0.05,outer_training_inner_oof_only,0
