outer_fold,seed_index,q,common_target_l2,first_stage_rbf25_l2,second_stage_fidelity_l2,second_stage_rbf50_l2,candidate_lambda,control_lambda,validation_outcomes_used,stage_order,channel_source
CV03,12,8,1.0913929397691817,1.7054639484663545,1.6767870238171174,1.000450240878886,0.05,0.05,0,shared_q8_rbf25_then_nested_shrinkage_e2,inner_oof_selection_then_outer_refit
CV03,13,8,1.091727437711227,1.7088472132127677,1.6322546539733822,1.0053701338404502,0.05,0.05,0,shared_q8_rbf25_then_nested_shrinkage_e2,inner_oof_selection_then_outer_refit
CV03,14,8,1.0914827448036084,1.7085954175120959,1.6369474886785904,1.0137210072780303,0.05,0.05,0,shared_q8_rbf25_then_nested_shrinkage_e2,inner_oof_selection_then_outer_refit
CV03,15,8,1.0916110922564268,1.7043310646455179,1.6754665274906757,1.0065800956578985,0.05,0.05,0,shared_q8_rbf25_then_nested_shrinkage_e2,inner_oof_selection_then_outer_refit
CV03,16,8,1.0910879334139651,1.7065086392371345,1.6888756093389072,0.9983979928405399,0.05,0.05,0,shared_q8_rbf25_then_nested_shrinkage_e2,inner_oof_selection_then_outer_refit
CV03,17,8,1.0919528564485406,1.701432311378209,1.6746184435452591,1.011130505444702,0.05,0.05,0,shared_q8_rbf25_then_nested_shrinkage_e2,inner_oof_selection_then_outer_refit
CV03,18,8,1.0921994187920172,1.7083839875712428,1.6493118318115545,1.016026798928727,0.05,0.05,0,shared_q8_rbf25_then_nested_shrinkage_e2,inner_oof_selection_then_outer_refit
CV03,19,8,1.0913897346930246,1.7032960012462572,1.6176834820479988,1.003703276175157,0.05,0.05,0,shared_q8_rbf25_then_nested_shrinkage_e2,inner_oof_selection_then_outer_refit
CV03,20,8,1.0917165889903457,1.7061650222735008,1.6326067315370987,1.011955049302996,0.05,0.05,0,shared_q8_rbf25_then_nested_shrinkage_e2,inner_oof_selection_then_outer_refit
CV04,1,8,0.694733645946715,0.4287041507221398,0.8106785321028019,0.38676903225894477,0.05,0.05,0,shared_q8_rbf25_then_nested_shrinkage_e2,inner_oof_selection_then_outer_refit
CV04,2,8,0.6947737285015515,0.4276729667463007,0.8011171239379005,0.39480849309797766,0.05,0.05,0,shared_q8_rbf25_then_nested_shrinkage_e2,inner_oof_selection_then_outer_refit
CV04,3,8,0.6946883712107402,0.4283593030481715,0.7964284430124704,0.38445438631768886,0.05,0.05,0,shared_q8_rbf25_then_nested_shrinkage_e2,inner_oof_selection_then_outer_refit
CV04,4,8,0.6946482695643288,0.429592424426193,0.800783651553956,0.38964604170229694,0.05,0.05,0,shared_q8_rbf25_then_nested_shrinkage_e2,inner_oof_selection_then_outer_refit
CV04,5,8,0.6947723856587992,0.42899074228153966,0.7993280613410676,0.3904325048679413,0.05,0.05,0,shared_q8_rbf25_then_nested_shrinkage_e2,inner_oof_selection_then_outer_refit
CV04,6,8,0.6946695149349266,0.42845580374079734,0.8031655785737872,0.39268905248691294,0.05,0.05,0,shared_q8_rbf25_then_nested_shrinkage_e2,inner_oof_selection_then_outer_refit
CV04,7,8,0.6946947101095996,0.4262006802160674,0.7925346337942738,0.38736295825929834,0.05,0.05,0,shared_q8_rbf25_then_nested_shrinkage_e2,inner_oof_selection_then_outer_refit
CV04,8,8,0.6946937132670107,0.42706394434479567,0.7958753263905829,0.38865931650732244,0.05,0.05,0,shared_q8_rbf25_then_nested_shrinkage_e2,inner_oof_selection_then_outer_refit
CV04,9,8,0.6947068572023665,0.4282871280091607,0.8090432074571271,0.3880663934030379,0.05,0.05,0,shared_q8_rbf25_then_nested_shrinkage_e2,inner_oof_selection_then_outer_refit
CV04,10,8,0.6946678749606138,0.43111295662147325,0.7885773263821997,0.38533621384823036,0.05,0.05,0,shared_q8_rbf25_then_nested_shrinkage_e2,inner_oof_selection_then_outer_refit
CV04,11,8,0.6946750979664772,0.43005594596217656,0.8060543172971151,0.39214548539963656,0.05,0.05,0,shared_q8_rbf25_then_nested_shrinkage_e2,inner_oof_selection_then_outer_refit
CV04,12,8,0.6946469239710872,0.4291103163084554,0.7934514399759028,0.39025236835689253,0.05,0.05,0,shared_q8_rbf25_then_nested_shrinkage_e2,inner_oof_selection_then_outer_refit
CV04,13,8,0.694672750272081,0.4314265699999519,0.8055725474580853,0.38569061142828853,0.05,0.05,0,shared_q8_rbf25_then_nested_shrinkage_e2,inner_oof_selection_then_outer_refit
CV04,14,8,0.6946977245192767,0.42911872120103023,0.7994379839695436,0.3885799709685045,0.05,0.05,0,shared_q8_rbf25_then_nested_shrinkage_e2,inner_oof_selection_then_outer_refit
CV04,15,8,0.6948947377847419,0.4297951221196713,0.8000394635384986,0.3872295064683487,0.05,0.05,0,shared_q8_rbf25_then_nested_shrinkage_e2,inner_oof_selection_then_outer_refit
CV04,16,8,0.6947709287865587,0.429165772485173,0.7985870118927088,0.3867142936892352,0.05,0.05,0,shared_q8_rbf25_then_nested_shrinkage_e2,inner_oof_selection_then_outer_refit
CV04,17,8,0.6946343863311402,0.430227610901264,0.7938845475092058,0.3814245413026362,0.05,0.05,0,shared_q8_rbf25_then_nested_shrinkage_e2,inner_oof_selection_then_outer_refit
CV04,18,8,0.6947028569984954,0.42685051162574905,0.8065423804804347,0.3918276491808403,0.05,0.05,0,shared_q8_rbf25_then_nested_shrinkage_e2,inner_oof_selection_then_outer_refit
CV04,19,8,0.6947059711034598,0.42924874500739224,0.8005219951709306,0.38748401648899455,0.05,0.05,0,shared_q8_rbf25_then_nested_shrinkage_e2,inner_oof_selection_then_outer_refit
CV04,20,8,0.6947942912351587,0.4289250025640517,0.8033416817359952,0.3877461013121275,0.05,0.05,0,shared_q8_rbf25_then_nested_shrinkage_e2,inner_oof_selection_then_outer_refit
CV05,1,8,1.0341756626901903,0.44571702668573066,1.197168935712944,0.6065239740590359,0.05,0.05,0,shared_q8_rbf25_then_nested_shrinkage_e2,inner_oof_selection_then_outer_refit
CV05,2,8,1.0335080939427166,0.4457687392850087,1.2004876919807337,0.608611821776582,0.05,0.05,0,shared_q8_rbf25_then_nested_shrinkage_e2,inner_oof_selection_then_outer_refit
CV05,3,8,1.0336650521754946,0.4480068051550307,1.2156945168959834,0.6089417476165312,0.05,0.05,0,shared_q8_rbf25_then_nested_shrinkage_e2,inner_oof_selection_then_outer_refit
CV05,4,8,1.033760746496208,0.4468584070582129,1.202249842267383,0.6047769754477116,0.05,0.05,0,shared_q8_rbf25_then_nested_shrinkage_e2,inner_oof_selection_then_outer_refit
CV05,5,8,1.0328756256235492,0.4457722745217729,1.2048189438726797,0.6059285002741137,0.05,0.05,0,shared_q8_rbf25_then_nested_shrinkage_e2,inner_oof_selection_then_outer_refit
CV05,6,8,1.0337219223046605,0.44612273907848266,1.217369197906842,0.6062948579539756,0.05,0.05,0,shared_q8_rbf25_then_nested_shrinkage_e2,inner_oof_selection_then_outer_refit
CV05,7,8,1.0342861820994775,0.4457764851175098,1.2143189378094872,0.6086248346051549,0.05,0.05,0,shared_q8_rbf25_then_nested_shrinkage_e2,inner_oof_selection_then_outer_refit
CV05,8,8,1.0346461900615131,0.44602857815823027,1.2189296783622805,0.610809319674345,0.05,0.05,0,shared_q8_rbf25_then_nested_shrinkage_e2,inner_oof_selection_then_outer_refit
CV05,9,8,1.0335463465766446,0.44825031377460545,1.2324656736459496,0.6053251728053579,0.05,0.05,0,shared_q8_rbf25_then_nested_shrinkage_e2,inner_oof_selection_then_outer_refit
CV05,10,8,1.0337574171888453,0.44729540556144975,1.2081979873814988,0.6076530904120668,0.05,0.05,0,shared_q8_rbf25_then_nested_shrinkage_e2,inner_oof_selection_then_outer_refit
CV05,11,8,1.0341757103087872,0.4457489997148018,1.2050001113184685,0.6069410576173812,0.05,0.05,0,shared_q8_rbf25_then_nested_shrinkage_e2,inner_oof_selection_then_outer_refit
CV05,12,8,1.0339201975676575,0.4473193150593444,1.1886386473335233,0.6113934284207516,0.05,0.05,0,shared_q8_rbf25_then_nested_shrinkage_e2,inner_oof_selection_then_outer_refit
CV05,13,8,1.0336853957281427,0.44802289893615155,1.1903847886272267,0.6067491456462947,0.05,0.05,0,shared_q8_rbf25_then_nested_shrinkage_e2,inner_oof_selection_then_outer_refit
CV05,14,8,1.0338054540442232,0.4465993588378551,1.1939552992614535,0.6086388954338481,0.05,0.05,0,shared_q8_rbf25_then_nested_shrinkage_e2,inner_oof_selection_then_outer_refit
CV05,15,8,1.0338197890496372,0.44550425182991277,1.1962780812969565,0.6034765695226305,0.05,0.05,0,shared_q8_rbf25_then_nested_shrinkage_e2,inner_oof_selection_then_outer_refit
CV05,16,8,1.0344743351307608,0.44922033825277113,1.1979486270953377,0.6136329262542121,0.05,0.05,0,shared_q8_rbf25_then_nested_shrinkage_e2,inner_oof_selection_then_outer_refit
CV05,17,8,1.0336930971261573,0.4465789339594273,1.193293957833475,0.606600760820555,0.05,0.05,0,shared_q8_rbf25_then_nested_shrinkage_e2,inner_oof_selection_then_outer_refit
CV05,18,8,1.0333671767763875,0.4461337493101685,1.2059093308770856,0.6099970494928002,0.05,0.05,0,shared_q8_rbf25_then_nested_shrinkage_e2,inner_oof_selection_then_outer_refit
CV05,19,8,1.0335640223864726,0.4463971450675984,1.206098135312922,0.6080632718342457,0.05,0.05,0,shared_q8_rbf25_then_nested_shrinkage_e2,inner_oof_selection_then_outer_refit
CV05,20,8,1.0338998866391156,0.44572366177053574,1.2235443846130443,0.6084027252007048,0.05,0.05,0,shared_q8_rbf25_then_nested_shrinkage_e2,inner_oof_selection_then_outer_refit
