outer_fold,seed_index,q,inner_fold,fit_rows,holdout_rows,fit_groups,holdout_groups,group_intersection_count,channel_source,validation_outcomes_used,stage
CV02,4,8,4,786,238,G02;G03;G05;G06;G08;G09;G10,G07;G11,0,inner_fit_only_cross_fitted_c06_residual,0,shared_q8_rbf25
CV02,5,8,1,792,232,G02;G03;G07;G08;G09;G10;G11,G05;G06,0,inner_fit_only_cross_fitted_c06_residual,0,shared_q8_rbf25
CV02,5,8,2,686,338,G05;G06;G07;G08;G09;G11,G02;G03;G10,0,inner_fit_only_cross_fitted_c06_residual,0,shared_q8_rbf25
CV02,5,8,3,808,216,G02;G03;G05;G06;G07;G10;G11,G08;G09,0,inner_fit_only_cross_fitted_c06_residual,0,shared_q8_rbf25
CV02,5,8,4,786,238,G02;G03;G05;G06;G08;G09;G10,G07;G11,0,inner_fit_only_cross_fitted_c06_residual,0,shared_q8_rbf25
CV02,6,8,1,792,232,G02;G03;G07;G08;G09;G10;G11,G05;G06,0,inner_fit_only_cross_fitted_c06_residual,0,shared_q8_rbf25
CV02,6,8,2,686,338,G05;G06;G07;G08;G09;G11,G02;G03;G10,0,inner_fit_only_cross_fitted_c06_residual,0,shared_q8_rbf25
CV02,6,8,3,808,216,G02;G03;G05;G06;G07;G10;G11,G08;G09,0,inner_fit_only_cross_fitted_c06_residual,0,shared_q8_rbf25
CV02,6,8,4,786,238,G02;G03;G05;G06;G08;G09;G10,G07;G11,0,inner_fit_only_cross_fitted_c06_residual,0,shared_q8_rbf25
CV02,7,8,1,792,232,G02;G03;G07;G08;G09;G10;G11,G05;G06,0,inner_fit_only_cross_fitted_c06_residual,0,shared_q8_rbf25
CV02,7,8,2,686,338,G05;G06;G07;G08;G09;G11,G02;G03;G10,0,inner_fit_only_cross_fitted_c06_residual,0,shared_q8_rbf25
CV02,7,8,3,808,216,G02;G03;G05;G06;G07;G10;G11,G08;G09,0,inner_fit_only_cross_fitted_c06_residual,0,shared_q8_rbf25
CV02,7,8,4,786,238,G02;G03;G05;G06;G08;G09;G10,G07;G11,0,inner_fit_only_cross_fitted_c06_residual,0,shared_q8_rbf25
CV02,8,8,1,792,232,G02;G03;G07;G08;G09;G10;G11,G05;G06,0,inner_fit_only_cross_fitted_c06_residual,0,shared_q8_rbf25
CV02,8,8,2,686,338,G05;G06;G07;G08;G09;G11,G02;G03;G10,0,inner_fit_only_cross_fitted_c06_residual,0,shared_q8_rbf25
CV02,8,8,3,808,216,G02;G03;G05;G06;G07;G10;G11,G08;G09,0,inner_fit_only_cross_fitted_c06_residual,0,shared_q8_rbf25
CV02,8,8,4,786,238,G02;G03;G05;G06;G08;G09;G10,G07;G11,0,inner_fit_only_cross_fitted_c06_residual,0,shared_q8_rbf25
CV02,9,8,1,792,232,G02;G03;G07;G08;G09;G10;G11,G05;G06,0,inner_fit_only_cross_fitted_c06_residual,0,shared_q8_rbf25
CV02,9,8,2,686,338,G05;G06;G07;G08;G09;G11,G02;G03;G10,0,inner_fit_only_cross_fitted_c06_residual,0,shared_q8_rbf25
CV02,9,8,3,808,216,G02;G03;G05;G06;G07;G10;G11,G08;G09,0,inner_fit_only_cross_fitted_c06_residual,0,shared_q8_rbf25
CV02,9,8,4,786,238,G02;G03;G05;G06;G08;G09;G10,G07;G11,0,inner_fit_only_cross_fitted_c06_residual,0,shared_q8_rbf25
CV02,10,8,1,792,232,G02;G03;G07;G08;G09;G10;G11,G05;G06,0,inner_fit_only_cross_fitted_c06_residual,0,shared_q8_rbf25
CV02,10,8,2,686,338,G05;G06;G07;G08;G09;G11,G02;G03;G10,0,inner_fit_only_cross_fitted_c06_residual,0,shared_q8_rbf25
CV02,10,8,3,808,216,G02;G03;G05;G06;G07;G10;G11,G08;G09,0,inner_fit_only_cross_fitted_c06_residual,0,shared_q8_rbf25
CV02,10,8,4,786,238,G02;G03;G05;G06;G08;G09;G10,G07;G11,0,inner_fit_only_cross_fitted_c06_residual,0,shared_q8_rbf25
CV02,11,8,1,792,232,G02;G03;G07;G08;G09;G10;G11,G05;G06,0,inner_fit_only_cross_fitted_c06_residual,0,shared_q8_rbf25
CV02,11,8,2,686,338,G05;G06;G07;G08;G09;G11,G02;G03;G10,0,inner_fit_only_cross_fitted_c06_residual,0,shared_q8_rbf25
CV02,11,8,3,808,216,G02;G03;G05;G06;G07;G10;G11,G08;G09,0,inner_fit_only_cross_fitted_c06_residual,0,shared_q8_rbf25
CV02,11,8,4,786,238,G02;G03;G05;G06;G08;G09;G10,G07;G11,0,inner_fit_only_cross_fitted_c06_residual,0,shared_q8_rbf25
CV02,12,8,1,792,232,G02;G03;G07;G08;G09;G10;G11,G05;G06,0,inner_fit_only_cross_fitted_c06_residual,0,shared_q8_rbf25
CV02,12,8,2,686,338,G05;G06;G07;G08;G09;G11,G02;G03;G10,0,inner_fit_only_cross_fitted_c06_residual,0,shared_q8_rbf25
CV02,12,8,3,808,216,G02;G03;G05;G06;G07;G10;G11,G08;G09,0,inner_fit_only_cross_fitted_c06_residual,0,shared_q8_rbf25
CV02,12,8,4,786,238,G02;G03;G05;G06;G08;G09;G10,G07;G11,0,inner_fit_only_cross_fitted_c06_residual,0,shared_q8_rbf25
CV02,13,8,1,792,232,G02;G03;G07;G08;G09;G10;G11,G05;G06,0,inner_fit_only_cross_fitted_c06_residual,0,shared_q8_rbf25
CV02,13,8,2,686,338,G05;G06;G07;G08;G09;G11,G02;G03;G10,0,inner_fit_only_cross_fitted_c06_residual,0,shared_q8_rbf25
CV02,13,8,3,808,216,G02;G03;G05;G06;G07;G10;G11,G08;G09,0,inner_fit_only_cross_fitted_c06_residual,0,shared_q8_rbf25
CV02,13,8,4,786,238,G02;G03;G05;G06;G08;G09;G10,G07;G11,0,inner_fit_only_cross_fitted_c06_residual,0,shared_q8_rbf25
CV02,14,8,1,792,232,G02;G03;G07;G08;G09;G10;G11,G05;G06,0,inner_fit_only_cross_fitted_c06_residual,0,shared_q8_rbf25
