outer_fold,seed_index,q,common_target_l2,second_stage_fidelity_l2,second_stage_rbf50_l2,validation_outcomes_used,stage_order,channel_source
CV01,20,6,1.26920167510894,1.347121619867918,0.33280812357227546,0,shared_q8_rbf25_then_common_e2_q_stack,common_q8_rbf25_oof_orthogonalized_target
CV01,20,8,1.26920167510894,1.754909639467784,0.20638891698439712,0,shared_q8_rbf25_then_common_e2_q_stack,common_q8_rbf25_oof_orthogonalized_target
CV02,1,4,0.5956535477625088,1.4972964518986671,1.3577826699007296,0,shared_q8_rbf25_then_common_e2_q_stack,common_q8_rbf25_oof_orthogonalized_target
CV02,1,6,0.5956535477625088,1.9635578017257107,0.9314225492568211,0,shared_q8_rbf25_then_common_e2_q_stack,common_q8_rbf25_oof_orthogonalized_target
CV02,1,8,0.5956535477625088,0.8925670146098525,0.6169595171545291,0,shared_q8_rbf25_then_common_e2_q_stack,common_q8_rbf25_oof_orthogonalized_target
CV02,2,4,0.5956321671811997,1.4943521156190542,1.3567603367833183,0,shared_q8_rbf25_then_common_e2_q_stack,common_q8_rbf25_oof_orthogonalized_target
CV02,2,6,0.5956321671811997,1.9499905321210427,0.9327749507482868,0,shared_q8_rbf25_then_common_e2_q_stack,common_q8_rbf25_oof_orthogonalized_target
CV02,2,8,0.5956321671811997,0.8923934078585806,0.6119033509900867,0,shared_q8_rbf25_then_common_e2_q_stack,common_q8_rbf25_oof_orthogonalized_target
CV02,3,4,0.5954842618899718,1.5009391957426685,1.3572913477785786,0,shared_q8_rbf25_then_common_e2_q_stack,common_q8_rbf25_oof_orthogonalized_target
CV02,3,6,0.5954842618899718,1.966900312876484,0.9321060627888353,0,shared_q8_rbf25_then_common_e2_q_stack,common_q8_rbf25_oof_orthogonalized_target
CV02,3,8,0.5954842618899718,0.888342851580856,0.6171001155989984,0,shared_q8_rbf25_then_common_e2_q_stack,common_q8_rbf25_oof_orthogonalized_target
CV02,4,4,0.5956112409554141,1.4908689342782666,1.3580413869821997,0,shared_q8_rbf25_then_common_e2_q_stack,common_q8_rbf25_oof_orthogonalized_target
CV02,4,6,0.5956112409554141,1.9550051576157963,0.9296564261526667,0,shared_q8_rbf25_then_common_e2_q_stack,common_q8_rbf25_oof_orthogonalized_target
CV02,4,8,0.5956112409554141,0.8934842966143945,0.6154568460090376,0,shared_q8_rbf25_then_common_e2_q_stack,common_q8_rbf25_oof_orthogonalized_target
CV02,5,4,0.595836046824757,1.4929006589437925,1.3575470964415413,0,shared_q8_rbf25_then_common_e2_q_stack,common_q8_rbf25_oof_orthogonalized_target
CV02,5,6,0.595836046824757,1.9622788788354173,0.932179322032379,0,shared_q8_rbf25_then_common_e2_q_stack,common_q8_rbf25_oof_orthogonalized_target
CV02,5,8,0.595836046824757,0.8854366194926627,0.6127509249276273,0,shared_q8_rbf25_then_common_e2_q_stack,common_q8_rbf25_oof_orthogonalized_target
CV02,6,4,0.5955817465569767,1.4932992453578107,1.356497336143365,0,shared_q8_rbf25_then_common_e2_q_stack,common_q8_rbf25_oof_orthogonalized_target
CV02,6,6,0.5955817465569767,1.9678201597928127,0.9303651275484829,0,shared_q8_rbf25_then_common_e2_q_stack,common_q8_rbf25_oof_orthogonalized_target
CV02,6,8,0.5955817465569767,0.8484005000129469,0.6122682276401694,0,shared_q8_rbf25_then_common_e2_q_stack,common_q8_rbf25_oof_orthogonalized_target
CV02,7,4,0.5956500145375423,1.4925941075983438,1.3571406864926125,0,shared_q8_rbf25_then_common_e2_q_stack,common_q8_rbf25_oof_orthogonalized_target
CV02,7,6,0.5956500145375423,1.9526597415954638,0.9289656783020546,0,shared_q8_rbf25_then_common_e2_q_stack,common_q8_rbf25_oof_orthogonalized_target
CV02,7,8,0.5956500145375423,0.8846521965799566,0.616511597078661,0,shared_q8_rbf25_then_common_e2_q_stack,common_q8_rbf25_oof_orthogonalized_target
CV02,8,4,0.5958826573192582,1.4933569752174833,1.3571821779835536,0,shared_q8_rbf25_then_common_e2_q_stack,common_q8_rbf25_oof_orthogonalized_target
CV02,8,6,0.5958826573192582,1.972395801524191,0.9311641790860506,0,shared_q8_rbf25_then_common_e2_q_stack,common_q8_rbf25_oof_orthogonalized_target
CV02,8,8,0.5958826573192582,0.8702387346809617,0.6105679200022397,0,shared_q8_rbf25_then_common_e2_q_stack,common_q8_rbf25_oof_orthogonalized_target
CV02,9,4,0.5957717486237579,1.4937751889194326,1.3574527671423375,0,shared_q8_rbf25_then_common_e2_q_stack,common_q8_rbf25_oof_orthogonalized_target
CV02,9,6,0.5957717486237579,1.9453362669872316,0.9309358797861729,0,shared_q8_rbf25_then_common_e2_q_stack,common_q8_rbf25_oof_orthogonalized_target
CV02,9,8,0.5957717486237579,0.8736333395954318,0.6139203636936275,0,shared_q8_rbf25_then_common_e2_q_stack,common_q8_rbf25_oof_orthogonalized_target
CV02,10,4,0.5956519413790858,1.4920234469851437,1.3570279868296342,0,shared_q8_rbf25_then_common_e2_q_stack,common_q8_rbf25_oof_orthogonalized_target
CV02,10,6,0.5956519413790858,1.98811203146783,0.9287144787240159,0,shared_q8_rbf25_then_common_e2_q_stack,common_q8_rbf25_oof_orthogonalized_target
CV02,10,8,0.5956519413790858,0.8925852038322277,0.6157132128820211,0,shared_q8_rbf25_then_common_e2_q_stack,common_q8_rbf25_oof_orthogonalized_target
CV02,11,4,0.5958721553849483,1.4936615685849464,1.3568318561113903,0,shared_q8_rbf25_then_common_e2_q_stack,common_q8_rbf25_oof_orthogonalized_target
CV02,11,6,0.5958721553849483,1.9379583716361322,0.9305408975268387,0,shared_q8_rbf25_then_common_e2_q_stack,common_q8_rbf25_oof_orthogonalized_target
CV02,11,8,0.5958721553849483,0.8885318388177921,0.6146301750449523,0,shared_q8_rbf25_then_common_e2_q_stack,common_q8_rbf25_oof_orthogonalized_target
CV02,12,4,0.595779312727236,1.5003306541911634,1.3583788468152143,0,shared_q8_rbf25_then_common_e2_q_stack,common_q8_rbf25_oof_orthogonalized_target
CV02,12,6,0.595779312727236,1.9657943365356434,0.9295761933878535,0,shared_q8_rbf25_then_common_e2_q_stack,common_q8_rbf25_oof_orthogonalized_target
CV02,12,8,0.595779312727236,0.8969457093225577,0.6133121204900147,0,shared_q8_rbf25_then_common_e2_q_stack,common_q8_rbf25_oof_orthogonalized_target
CV02,13,4,0.595715173718829,1.497870265373155,1.3579106994001884,0,shared_q8_rbf25_then_common_e2_q_stack,common_q8_rbf25_oof_orthogonalized_target
CV02,13,6,0.595715173718829,1.9723550139454735,0.9317640321879438,0,shared_q8_rbf25_then_common_e2_q_stack,common_q8_rbf25_oof_orthogonalized_target
CV02,13,8,0.595715173718829,0.8909038926589261,0.6141931518242862,0,shared_q8_rbf25_then_common_e2_q_stack,common_q8_rbf25_oof_orthogonalized_target
CV02,14,4,0.5957258749044931,1.4950719824608358,1.356209924828589,0,shared_q8_rbf25_then_common_e2_q_stack,common_q8_rbf25_oof_orthogonalized_target
CV02,14,6,0.5957258749044931,1.9524955440564564,0.9304658824132688,0,shared_q8_rbf25_then_common_e2_q_stack,common_q8_rbf25_oof_orthogonalized_target
