outer_fold,seed_index,fit_rows,candidate_feature_columns,control_feature_columns,stack_ridge,candidate_coefficients,control_coefficients,feature_order,common_target_l2,validation_outcomes_used
CV01,11,1024,4,4,0.001,0.002477813707367452;-1.034567780894901;0.5004761020458354;-0.1466356351786675,-0.002781415867208852;-0.5893409037687102;-0.335306257195964;-0.124574285083514,"[1,F4(e2),F6(e2),F8(e2)] versus [1,R50_4(e2),R50_6(e2),R50_8(e2)]",1.2719623839444076,0
CV01,12,1024,4,4,0.001,0.002550024705290178;-1.032841766025117;0.5296385626728164;-0.1814739129364035,-0.002891217021727123;-0.5903791567421671;-0.3215562156736833;-0.1356829981467993,"[1,F4(e2),F6(e2),F8(e2)] versus [1,R50_4(e2),R50_6(e2),R50_8(e2)]",1.2716720699890827,0
CV01,13,1024,4,4,0.001,0.002629199236482953;-1.008321575807616;0.5384656529336072;-0.228469769183776,-0.002931511949850916;-0.5924811734066034;-0.3223329586710492;-0.1334565547607014,"[1,F4(e2),F6(e2),F8(e2)] versus [1,R50_4(e2),R50_6(e2),R50_8(e2)]",1.2724155597639901,0
CV01,14,1024,4,4,0.001,0.002163095631504993;-1.004716327917536;0.304022400138993;-0.01284210495635926,-0.002837995943673787;-0.5925460750634859;-0.3284827583574282;-0.127462178104547,"[1,F4(e2),F6(e2),F8(e2)] versus [1,R50_4(e2),R50_6(e2),R50_8(e2)]",1.271669628918096,0
CV01,15,1024,4,4,0.001,0.002490951886876986;-1.031050864289194;0.5259552497545837;-0.181748040260376,-0.002935432130427346;-0.5842287153238276;-0.3211572446423045;-0.1446128443457293,"[1,F4(e2),F6(e2),F8(e2)] versus [1,R50_4(e2),R50_6(e2),R50_8(e2)]",1.271414014498456,0
CV01,16,1024,4,4,0.001,0.002475397641864056;-1.05943563450519;0.5099922383716655;-0.1173868792417493,-0.002803436852576665;-0.5904011292672351;-0.341931073312878;-0.1180378759779923,"[1,F4(e2),F6(e2),F8(e2)] versus [1,R50_4(e2),R50_6(e2),R50_8(e2)]",1.2718390686468226,0
CV01,17,1024,4,4,0.001,0.002442807954950642;-0.9580650311895215;0.3800358676734982;-0.1800969693474721,-0.002924670637345418;-0.5898795136976578;-0.320660253715938;-0.1371944412585569,"[1,F4(e2),F6(e2),F8(e2)] versus [1,R50_4(e2),R50_6(e2),R50_8(e2)]",1.2720946366593855,0
CV01,18,1024,4,4,0.001,0.002602663775993885;-0.9875763528942494;0.4694159871863848;-0.2134430406404859,-0.00285007210010383;-0.5931522597326933;-0.3267912448980582;-0.1273960122768703,"[1,F4(e2),F6(e2),F8(e2)] versus [1,R50_4(e2),R50_6(e2),R50_8(e2)]",1.2720493268206987,0
CV01,19,1024,4,4,0.001,0.002842132059177658;-1.002836049979255;0.6231693360634282;-0.3156519216223648,-0.002732795097978028;-0.5912073995245103;-0.345215269694321;-0.1125819864066426,"[1,F4(e2),F6(e2),F8(e2)] versus [1,R50_4(e2),R50_6(e2),R50_8(e2)]",1.2716981777114276,0
CV01,20,1024,4,4,0.001,0.002481206480704714;-0.9527896383917434;0.316211863251209;-0.1412365075667277,-0.002795345603224493;-0.5895517034436594;-0.3239147452031415;-0.1321617128295381,"[1,F4(e2),F6(e2),F8(e2)] versus [1,R50_4(e2),R50_6(e2),R50_8(e2)]",1.26920167510894,0
CV02,1,1024,4,4,0.001,0.001854276139721804;-0.5012024774437628;0.06190991119299226;-0.5086816416868074,0.00110857572540348;-0.2055542076631767;0.6488050081144284;-1.129309820943886,"[1,F4(e2),F6(e2),F8(e2)] versus [1,R50_4(e2),R50_6(e2),R50_8(e2)]",0.5956535477625088,0
