outer_fold,seed_index,shared_gain,grid,candidate_losses,control_losses,candidate_gain,control_gain,selection_source,validation_outcomes_used
CV02,3,0.1,0.05;0.10;0.15;0.20,0.0002547292421665184;0.0002603712174564978;0.0002662980218018944;0.0002725096552027082,0.0002631816196525786;0.0002792448923623803;0.0002975619140613609;0.0003181326847495205,0.05,0.05,outer_training_inner_oof_only,0
CV02,4,0.1,0.05;0.10;0.15;0.20,0.0002548960030134149;0.0002606885223839634;0.0002667679213527293;0.0002731341999197128,0.0002632063315456039;0.000279269008902895;0.0002975783953129571;0.0003181344907757905,0.05,0.05,outer_training_inner_oof_only,0
CV02,5,0.1,0.05;0.10;0.15;0.20,0.0002547106452519956;0.000260300906701385;0.0002661818522650447;0.0002723534819429746,0.0002632352876597017;0.0002793103376377579;0.0002976362178510451;0.0003182129282995634,0.05,0.05,outer_training_inner_oof_only,0
CV02,6,0.1,0.05;0.10;0.15;0.20,0.0002545757004304985;0.000260038584506748;0.0002657770623162512;0.000271791133859008,0.0002631779544202751;0.0002792150375941376;0.0002974996596090898;0.0003180318204651318,0.05,0.05,outer_training_inner_oof_only,0
CV02,7,0.1,0.05;0.10;0.15;0.20,0.0002547940704516144;0.0002604836324338693;0.0002664662835472293;0.0002727420237916944,0.0002631994242436572;0.0002792478116122382;0.0002975427597062073;0.0003180842685255648,0.05,0.05,outer_training_inner_oof_only,0
CV02,8,0.1,0.05;0.10;0.15;0.20,0.0002549615444195571;0.0002608023079608399;0.000266936556131453;0.0002733642889313962,0.0002631916056490904;0.0002792143502865048;0.0002974824994198476;0.0003179960530491189,0.05,0.05,outer_training_inner_oof_only,0
CV02,9,0.1,0.05;0.10;0.15;0.20,0.000254852018340127;0.0002605850365679877;0.0002666029440339723;0.0002729057407380809,0.0002632139113629136;0.0002792681088425577;0.0002975664817893226;0.0003181090302032083,0.05,0.05,outer_training_inner_oof_only,0
CV02,10,0.1,0.05;0.10;0.15;0.20,0.0002547006192759033;0.0002602845928738204;0.0002661493002335385;0.0002722947413550577,0.0002632017335324744;0.0002792492493295797;0.0002975399268311035;0.0003180737660370457,0.05,0.05,outer_training_inner_oof_only,0
CV02,11,0.1,0.05;0.10;0.15;0.20,0.0002547988541398659;0.0002604718849310124;0.0002664343614802698;0.0002726862837876379,0.0002632395283843495;0.0002793129146204272;0.0002976354278150633;0.000318207067968258,0.05,0.05,outer_training_inner_oof_only,0
CV02,12,0.1,0.05;0.10;0.15;0.20,0.000254710407324869;0.0002603020493267329;0.0002661778797634152;0.000272337898634916,0.0002632286302032431;0.0002792987481636056;0.0002976133076389111;0.0003181723086291597,0.05,0.05,outer_training_inner_oof_only,0
CV02,13,0.1,0.05;0.10;0.15;0.20,0.000254850916649801;0.0002605917165484281;0.0002666199393916715;0.0002729355851795312,0.0002632255553920957;0.0002793022362258943;0.0002976275821971863;0.0003182015933059716,0.05,0.05,outer_training_inner_oof_only,0
CV02,14,0.1,0.05;0.10;0.15;0.20,0.000254822982788852;0.0002605397002467787;0.000266547715367573;0.0002728470281512349,0.0002631809383489769;0.0002792107262270867;0.0002974869266281221;0.0003180095395520832,0.05,0.05,outer_training_inner_oof_only,0
CV02,15,0.1,0.05;0.10;0.15;0.20,0.0002546498628714348;0.0002602008632566799;0.0002660373604902817;0.00027215935457224,0.000263199163422061;0.0002792621848809161;0.000297573423711111;0.0003181328799126461,0.05,0.05,outer_training_inner_oof_only,0
CV02,16,0.1,0.05;0.10;0.15;0.20,0.0002548693209031755;0.0002606359454266885;0.0002666944315595735;0.0002730447793018307,0.0002631961283114119;0.0002792491603891066;0.000297553654222119;0.0003181096098104489,0.05,0.05,outer_training_inner_oof_only,0
CV02,17,0.1,0.05;0.10;0.15;0.20,0.0002546931695515067;0.000260272658900371;0.0002661402674458827;0.0002722959951880419,0.00026322816714174;0.0002792992888788308;0.0002976151646105624;0.0003181757943369348,0.05,0.05,outer_training_inner_oof_only,0
CV02,18,0.1,0.05;0.10;0.15;0.20,0.0002547158243614045;0.000260318047784961;0.000266211373283744;0.0002723958008577536,0.0002632010179700617;0.0002792478932218949;0.000297545328768574;0.000318093324610099,0.05,0.05,outer_training_inner_oof_only,0
CV02,19,0.1,0.05;0.10;0.15;0.20,0.0002544647237418435;0.0002597923829201034;0.0002653966936948472;0.0002712776560660746,0.0002632377560611166;0.0002793147571860718;0.0002976447195349331;0.0003182276431077002,0.05,0.05,outer_training_inner_oof_only,0
CV02,20,0.1,0.05;0.10;0.15;0.20,0.000254520935228742;0.0002599402395072183;0.000265638037916743;0.0002716143304573163,0.0002631934274253266;0.0002792547003579858;0.0002975639438792921;0.0003181211579892455,0.05,0.05,outer_training_inner_oof_only,0
CV03,1,0.1,0.05;0.10;0.15;0.20,0.001016210632667221;0.00103071527779771;0.001047477518109179;0.001066497353601627,0.001039692305531826;0.001085139241914761;0.001140304391866515;0.001205187755387091,0.05,0.05,outer_training_inner_oof_only,0
CV03,2,0.1,0.05;0.10;0.15;0.20,0.001016525136769743;0.001031178949325579;0.001048038276497929;0.001067103118286793,0.001039656139301295;0.00108490092386335;0.001139811192516587;0.001204386945261005,0.05,0.05,outer_training_inner_oof_only,0
CV03,3,0.1,0.05;0.10;0.15;0.20,0.001016749642449641;0.001031762632901898;0.001049062439927612;0.001068649063526783,0.001039691540772721;0.001085076398173749;0.001140178040773925;0.00120499646857325,0.05,0.05,outer_training_inner_oof_only,0
CV03,4,0.1,0.05;0.10;0.15;0.20,0.001016851914313129;0.001031921755804038;0.001049217913122666;0.001068740386269012,0.00103968387889553;0.00108506953522807;0.00114016535764756;0.001204971346154001,0.05,0.05,outer_training_inner_oof_only,0
CV03,5,0.1,0.05;0.10;0.15;0.20,0.001017651455412441;0.001033599181704298;0.00105182643687487;0.001072333220924159,0.001039792208783272;0.001085324777535721;0.001140580964256646;0.001205560768946048,0.05,0.05,outer_training_inner_oof_only,0
CV03,6,0.1,0.05;0.10;0.15;0.20,0.001017419676238297;0.001033122843099449;0.001051129623487424;0.001071440017402224,0.001039692155391602;0.001085008209576534;0.001139968285458765;0.001204572383038297,0.05,0.05,outer_training_inner_oof_only,0
CV03,7,0.1,0.05;0.10;0.15;0.20,0.00101804006396439;0.001034515152589752;0.001053378809927154;0.001074631035976596,0.001039638228093633;0.001085032927654417;0.00114013764273342;0.001204952373330641,0.05,0.05,outer_training_inner_oof_only,0
CV03,8,0.1,0.05;0.10;0.15;0.20,0.001016617055472926;0.001031370234510011;0.001048349196269673;0.001067553940751911,0.001039641940251434;0.00108489831628058;0.001139858787245853;0.001204523353147255,0.05,0.05,outer_training_inner_oof_only,0
CV03,9,0.1,0.05;0.10;0.15;0.20,0.001017275100849717;0.001032691531570586;0.001050347956633279;0.001070244376037795,0.001039849104188807;0.001085312716189805;0.001140489500473664;0.001205379457040385,0.05,0.05,outer_training_inner_oof_only,0
CV03,10,0.1,0.05;0.10;0.15;0.20,0.001016895831319517;0.001032170788899587;0.001049835482151423;0.001069889911075024,0.001039571229352103;0.001084787070415564;0.001139658132601595;0.001204184415910197,0.05,0.05,outer_training_inner_oof_only,0
CV03,11,0.1,0.05;0.10;0.15;0.20,0.001016516312045385;0.00103126954007493;0.001048249694426178;0.00106745677509913,0.001039643689295009;0.001084963449519143;0.001139949291009945;0.001204601213767415,0.05,0.05,outer_training_inner_oof_only,0
CV03,12,0.1,0.05;0.10;0.15;0.20,0.001017694393041268;0.001033819989836553;0.001052284574678148;0.001073088147566053,0.001039510156506535;0.001084727023842122;0.001139558386299054;0.001204004243877331,0.05,0.05,outer_training_inner_oof_only,0
