outer_fold,seed_index,q,eta,candidate_id,control_id,fidelity_delta_l2,rbf25_delta_l2,rbf50_delta_l2,residual_target_rows,channel_fit_rows,validation_outcomes_used,channel_source
CV01,7,8,0.25,HEFRK-08-E025,TWO-RBF-08-E025,1.9809522680159222,0.8601541394598764,1.0626986273413688,1024,1024,0,same_cross_fitted_c06_residual
CV01,7,8,0.5,HEFRK-08-E050,TWO-RBF-08-E050,1.9809522680159222,0.8601541394598764,1.0626986273413688,1024,1024,0,same_cross_fitted_c06_residual
CV01,7,8,0.75,HEFRK-08-E075,TWO-RBF-08-E075,1.9809522680159222,0.8601541394598764,1.0626986273413688,1024,1024,0,same_cross_fitted_c06_residual
CV01,8,4,0.25,HEFRK-04-E025,TWO-RBF-04-E025,1.3254448869364694,0.7052805440543096,0.8815510008676064,1024,1024,0,same_cross_fitted_c06_residual
CV01,8,4,0.5,HEFRK-04-E050,TWO-RBF-04-E050,1.3254448869364694,0.7052805440543096,0.8815510008676064,1024,1024,0,same_cross_fitted_c06_residual
CV01,8,4,0.75,HEFRK-04-E075,TWO-RBF-04-E075,1.3254448869364694,0.7052805440543096,0.8815510008676064,1024,1024,0,same_cross_fitted_c06_residual
CV01,8,6,0.25,HEFRK-06-E025,TWO-RBF-06-E025,1.6203108532985588,0.7730096383044415,0.9206909114283641,1024,1024,0,same_cross_fitted_c06_residual
CV01,8,6,0.5,HEFRK-06-E050,TWO-RBF-06-E050,1.6203108532985588,0.7730096383044415,0.9206909114283641,1024,1024,0,same_cross_fitted_c06_residual
CV01,8,6,0.75,HEFRK-06-E075,TWO-RBF-06-E075,1.6203108532985588,0.7730096383044415,0.9206909114283641,1024,1024,0,same_cross_fitted_c06_residual
CV01,8,8,0.25,HEFRK-08-E025,TWO-RBF-08-E025,1.9777083152660528,0.8627789197669766,1.064910044821033,1024,1024,0,same_cross_fitted_c06_residual
CV01,8,8,0.5,HEFRK-08-E050,TWO-RBF-08-E050,1.9777083152660528,0.8627789197669766,1.064910044821033,1024,1024,0,same_cross_fitted_c06_residual
CV01,8,8,0.75,HEFRK-08-E075,TWO-RBF-08-E075,1.9777083152660528,0.8627789197669766,1.064910044821033,1024,1024,0,same_cross_fitted_c06_residual
CV01,9,4,0.25,HEFRK-04-E025,TWO-RBF-04-E025,1.325444887694024,0.7042698269881016,0.8790254899739718,1024,1024,0,same_cross_fitted_c06_residual
CV01,9,4,0.5,HEFRK-04-E050,TWO-RBF-04-E050,1.325444887694024,0.7042698269881016,0.8790254899739718,1024,1024,0,same_cross_fitted_c06_residual
CV01,9,4,0.75,HEFRK-04-E075,TWO-RBF-04-E075,1.325444887694024,0.7042698269881016,0.8790254899739718,1024,1024,0,same_cross_fitted_c06_residual
