model_id,config_id,outer_fold,seed_index,validation_rows,nrmse,mae,mean_regret_m_s,infeasible_selection_rate,brier,auroc,recall,precision,ece,eta
HEFRK-04-E025,HEFRK-04-E025,CV01,2,6500,0.014766713818094992,0.012331986870782451,9.29397319264077,0.010769230769230769,0.04932996061596233,0.9845976892135344,0.9111718483088487,0.9844961240310077,0.09126005604771692,0.25
TWO-RBF-04-E025,TWO-RBF-04-E025,CV01,2,6500,0.01475374138240032,0.01229522344023937,9.29397319264077,0.010769230769230769,0.04932996061596233,0.9845976892135344,0.9111718483088487,0.9844961240310077,0.09126005604771692,0.25
HEFRK-04-E050,HEFRK-04-E050,CV01,2,6500,0.014694925085617686,0.012593384394143646,9.29397319264077,0.010769230769230769,0.04932996061596233,0.9845976892135344,0.9111718483088487,0.9844961240310077,0.09126005604771692,0.5
TWO-RBF-04-E050,TWO-RBF-04-E050,CV01,2,6500,0.014782566945618615,0.012227567242438737,9.29397319264077,0.010769230769230769,0.04932996061596233,0.9845976892135344,0.9111718483088487,0.9844961240310077,0.09126005604771692,0.5
HEFRK-04-E075,HEFRK-04-E075,CV01,2,6500,0.01462541494701392,0.01286686428414402,9.29397319264077,0.010769230769230769,0.04932996061596233,0.9845976892135344,0.9111718483088487,0.9844961240310077,0.09126005604771692,0.75
TWO-RBF-04-E075,TWO-RBF-04-E075,CV01,2,6500,0.014811569523399378,0.012161973665483213,9.29397319264077,0.010769230769230769,0.04932996061596233,0.9845976892135344,0.9111718483088487,0.9844961240310077,0.09126005604771692,0.75
HEFRK-06-E025,HEFRK-06-E025,CV01,2,6500,0.01462184380782256,0.01242358466227666,9.29397319264077,0.010769230769230769,0.04932996061596233,0.9845976892135344,0.9111718483088487,0.9844961240310077,0.09126005604771692,0.25
TWO-RBF-06-E025,TWO-RBF-06-E025,CV01,2,6500,0.01466187267550019,0.012390794212605104,9.29397319264077,0.010769230769230769,0.04932996061596233,0.9845976892135344,0.9111718483088487,0.9844961240310077,0.09126005604771692,0.25
HEFRK-06-E050,HEFRK-06-E050,CV01,2,6500,0.014514636204003622,0.012741780569963303,9.29397319264077,0.010769230769230769,0.04932996061596233,0.9845976892135344,0.9111718483088487,0.9844961240310077,0.09126005604771692,0.5
TWO-RBF-06-E050,TWO-RBF-06-E050,CV01,2,6500,0.014685714264013307,0.01235031170226459,9.29397319264077,0.010769230769230769,0.04932996061596233,0.9845976892135344,0.9111718483088487,0.9844961240310077,0.09126005604771692,0.5
HEFRK-06-E075,HEFRK-06-E075,CV01,2,6500,0.014412217076785208,0.01312335228853511,9.29397319264077,0.010769230769230769,0.04932996061596233,0.9845976892135344,0.9111718483088487,0.9844961240310077,0.09126005604771692,0.75
TWO-RBF-06-E075,TWO-RBF-06-E075,CV01,2,6500,0.014709668675918462,0.012309892988984631,9.29397319264077,0.010769230769230769,0.04932996061596233,0.9845976892135344,0.9111718483088487,0.9844961240310077,0.09126005604771692,0.75
HEFRK-08-E025,HEFRK-08-E025,CV01,2,6500,0.014543241565318847,0.01259293112445989,9.29397319264077,0.010769230769230769,0.04932996061596233,0.9845976892135344,0.9111718483088487,0.9844961240310077,0.09126005604771692,0.25
TWO-RBF-08-E025,TWO-RBF-08-E025,CV01,2,6500,0.014626561185444231,0.012646614555126667,9.29397319264077,0.010769230769230769,0.04932996061596233,0.9845976892135344,0.9111718483088487,0.9844961240310077,0.09126005604771692,0.25
HEFRK-08-E050,HEFRK-08-E050,CV01,2,6500,0.01436735033402731,0.012840241628946536,9.29397319264077,0.010769230769230769,0.04932996061596233,0.9845976892135344,0.9111718483088487,0.9844961240310077,0.09126005604771692,0.5
TWO-RBF-08-E050,TWO-RBF-08-E050,CV01,2,6500,0.014659327334837147,0.01259306728866473,9.29397319264077,0.010769230769230769,0.04932996061596233,0.9845976892135344,0.9111718483088487,0.9844961240310077,0.09126005604771692,0.5
HEFRK-08-E075,HEFRK-08-E075,CV01,2,6500,0.014197947065563285,0.013190264402489606,9.29397319264077,0.010769230769230769,0.04932996061596233,0.9845976892135344,0.9111718483088487,0.9844961240310077,0.09126005604771692,0.75
TWO-RBF-08-E075,TWO-RBF-08-E075,CV01,2,6500,0.014692270091381765,0.01253977298443697,9.29397319264077,0.010769230769230769,0.04932996061596233,0.9845976892135344,0.9111718483088487,0.9844961240310077,0.09126005604771692,0.75
C06,C06,CV01,3,6500,0.015176380962966552,0.011451556126719881,9.29397319264077,0.010769230769230769,0.04932996061596233,0.9845976892135344,0.9111718483088487,0.9844961240310077,0.09126005604771692,
HEFRK-04-E025,HEFRK-04-E025,CV01,3,6500,0.014766743827364774,0.01233260637340053,9.29397319264077,0.010769230769230769,0.04932996061596233,0.9845976892135344,0.9111718483088487,0.9844961240310077,0.09126005604771692,0.25
TWO-RBF-04-E025,TWO-RBF-04-E025,CV01,3,6500,0.014754017640286369,0.012298397628980358,9.29397319264077,0.010769230769230769,0.04932996061596233,0.9845976892135344,0.9111718483088487,0.9844961240310077,0.09126005604771692,0.25
HEFRK-04-E050,HEFRK-04-E050,CV01,3,6500,0.014694940802084876,0.012593810494304766,9.29397319264077,0.010769230769230769,0.04932996061596233,0.9845976892135344,0.9111718483088487,0.9844961240310077,0.09126005604771692,0.5
TWO-RBF-04-E050,TWO-RBF-04-E050,CV01,3,6500,0.014782766609494713,0.012230013176323268,9.29397319264077,0.010769230769230769,0.04932996061596233,0.9845976892135344,0.9111718483088487,0.9844961240310077,0.09126005604771692,0.5
HEFRK-04-E075,HEFRK-04-E075,CV01,3,6500,0.014625420638445302,0.012867096914478772,9.29397319264077,0.010769230769230769,0.04932996061596233,0.9845976892135344,0.9111718483088487,0.9844961240310077,0.09126005604771692,0.75
TWO-RBF-04-E075,TWO-RBF-04-E075,CV01,3,6500,0.014811693268863241,0.012163637346655078,9.29397319264077,0.010769230769230769,0.04932996061596233,0.9845976892135344,0.9111718483088487,0.9844961240310077,0.09126005604771692,0.75
HEFRK-06-E025,HEFRK-06-E025,CV01,3,6500,0.014621902534443955,0.012426968672357914,9.29397319264077,0.010769230769230769,0.04932996061596233,0.9845976892135344,0.9111718483088487,0.9844961240310077,0.09126005604771692,0.25
TWO-RBF-06-E025,TWO-RBF-06-E025,CV01,3,6500,0.014663423019426323,0.012398193592800836,9.29397319264077,0.010769230769230769,0.04932996061596233,0.9845976892135344,0.9111718483088487,0.9844961240310077,0.09126005604771692,0.25
HEFRK-06-E050,HEFRK-06-E050,CV01,3,6500,0.014514297047575135,0.01273974820860635,9.29397319264077,0.010769230769230769,0.04932996061596233,0.9845976892135344,0.9111718483088487,0.9844961240310077,0.09126005604771692,0.5
TWO-RBF-06-E050,TWO-RBF-06-E050,CV01,3,6500,0.014686908071416241,0.012356513074500237,9.29397319264077,0.010769230769230769,0.04932996061596233,0.9845976892135344,0.9111718483088487,0.9844961240310077,0.09126005604771692,0.5
HEFRK-06-E075,HEFRK-06-E075,CV01,3,6500,0.014411502454816776,0.013117087630032697,9.29397319264077,0.010769230769230769,0.04932996061596233,0.9845976892135344,0.9111718483088487,0.9844961240310077,0.09126005604771692,0.75
