outer_fold,seed_index,config_id,q,layers,entangle,state_dimension,landmarks,lambda,psd_clipped_eigenvalues,min_eigenvalue_before_clip,conditioning_feature,validation_outcomes_used
CV01,18,CE-GFRK-08-L010,8,1,True,256,256,0.1,6,-4.879398861558541e-16,cross_fitted_c06_train_outer_c06_validation,0
CV01,19,CE-GFRK-04-L010,4,1,True,16,256,0.1,175,-2.0010349491818968e-14,cross_fitted_c06_train_outer_c06_validation,0
CV01,19,CE-GFRK-06-L010,6,1,True,64,256,0.1,16,-8.582871962052508e-16,cross_fitted_c06_train_outer_c06_validation,0
CV01,19,CE-GFRK-08-L010,8,1,True,256,256,0.1,11,-8.191998463716662e-16,cross_fitted_c06_train_outer_c06_validation,0
CV01,20,CE-GFRK-04-L010,4,1,True,16,256,0.1,175,-3.122182014244578e-14,cross_fitted_c06_train_outer_c06_validation,0
CV01,20,CE-GFRK-06-L010,6,1,True,64,256,0.1,14,-8.294171133344293e-16,cross_fitted_c06_train_outer_c06_validation,0
CV01,20,CE-GFRK-08-L010,8,1,True,256,256,0.1,13,-8.940057667319222e-15,cross_fitted_c06_train_outer_c06_validation,0
CV02,1,CE-GFRK-04-L010,4,1,True,16,256,0.1,175,-1.482455755527377e-14,cross_fitted_c06_train_outer_c06_validation,0
CV02,1,CE-GFRK-06-L010,6,1,True,64,256,0.1,12,-7.385362820545287e-16,cross_fitted_c06_train_outer_c06_validation,0
CV02,1,CE-GFRK-08-L010,8,1,True,256,256,0.1,17,-1.2383001517347028e-15,cross_fitted_c06_train_outer_c06_validation,0
CV02,2,CE-GFRK-04-L010,4,1,True,16,256,0.1,175,-1.2465577440601871e-14,cross_fitted_c06_train_outer_c06_validation,0
CV02,2,CE-GFRK-06-L010,6,1,True,64,256,0.1,18,-1.609010597605639e-15,cross_fitted_c06_train_outer_c06_validation,0
CV02,2,CE-GFRK-08-L010,8,1,True,256,256,0.1,17,-1.7248824646444624e-15,cross_fitted_c06_train_outer_c06_validation,0
CV02,3,CE-GFRK-04-L010,4,1,True,16,256,0.1,175,-4.4848844398238795e-14,cross_fitted_c06_train_outer_c06_validation,0
CV02,3,CE-GFRK-06-L010,6,1,True,64,256,0.1,15,-2.6711191706028483e-15,cross_fitted_c06_train_outer_c06_validation,0
CV02,3,CE-GFRK-08-L010,8,1,True,256,256,0.1,13,-8.595008321795646e-16,cross_fitted_c06_train_outer_c06_validation,0
CV02,4,CE-GFRK-04-L010,4,1,True,16,256,0.1,175,-1.9553443917983202e-14,cross_fitted_c06_train_outer_c06_validation,0
CV02,4,CE-GFRK-06-L010,6,1,True,64,256,0.1,19,-1.5427469167821157e-15,cross_fitted_c06_train_outer_c06_validation,0
CV02,4,CE-GFRK-08-L010,8,1,True,256,256,0.1,16,-1.216433995421897e-15,cross_fitted_c06_train_outer_c06_validation,0
CV02,5,CE-GFRK-04-L010,4,1,True,16,256,0.1,175,-1.4018811718022907e-14,cross_fitted_c06_train_outer_c06_validation,0
CV02,5,CE-GFRK-06-L010,6,1,True,64,256,0.1,19,-1.3938697090274033e-15,cross_fitted_c06_train_outer_c06_validation,0
CV02,5,CE-GFRK-08-L010,8,1,True,256,256,0.1,19,-2.310650688321154e-15,cross_fitted_c06_train_outer_c06_validation,0
CV02,6,CE-GFRK-04-L010,4,1,True,16,256,0.1,175,-1.6552781216066576e-14,cross_fitted_c06_train_outer_c06_validation,0
CV02,6,CE-GFRK-06-L010,6,1,True,64,256,0.1,19,-1.132446382986986e-15,cross_fitted_c06_train_outer_c06_validation,0
CV02,6,CE-GFRK-08-L010,8,1,True,256,256,0.1,7,-1.0615583464233744e-15,cross_fitted_c06_train_outer_c06_validation,0
CV02,7,CE-GFRK-04-L010,4,1,True,16,256,0.1,175,-4.468985911203516e-14,cross_fitted_c06_train_outer_c06_validation,0
CV02,7,CE-GFRK-06-L010,6,1,True,64,256,0.1,19,-2.6455937069716357e-15,cross_fitted_c06_train_outer_c06_validation,0
CV02,7,CE-GFRK-08-L010,8,1,True,256,256,0.1,9,-6.768291037685847e-16,cross_fitted_c06_train_outer_c06_validation,0
CV02,8,CE-GFRK-04-L010,4,1,True,16,256,0.1,175,-1.8481547427466095e-14,cross_fitted_c06_train_outer_c06_validation,0
CV02,8,CE-GFRK-06-L010,6,1,True,64,256,0.1,20,-1.0611360522740218e-15,cross_fitted_c06_train_outer_c06_validation,0
CV02,8,CE-GFRK-08-L010,8,1,True,256,256,0.1,21,-1.739427267073035e-15,cross_fitted_c06_train_outer_c06_validation,0
CV02,9,CE-GFRK-04-L010,4,1,True,16,256,0.1,175,-2.3872705585758248e-14,cross_fitted_c06_train_outer_c06_validation,0
CV02,9,CE-GFRK-06-L010,6,1,True,64,256,0.1,17,-1.2806752631704194e-15,cross_fitted_c06_train_outer_c06_validation,0
CV02,9,CE-GFRK-08-L010,8,1,True,256,256,0.1,23,-5.055772869504648e-15,cross_fitted_c06_train_outer_c06_validation,0
CV02,10,CE-GFRK-04-L010,4,1,True,16,256,0.1,175,-2.1505862473877927e-14,cross_fitted_c06_train_outer_c06_validation,0
CV02,10,CE-GFRK-06-L010,6,1,True,64,256,0.1,17,-3.143872719935955e-15,cross_fitted_c06_train_outer_c06_validation,0
CV02,10,CE-GFRK-08-L010,8,1,True,256,256,0.1,18,-9.057879132101438e-15,cross_fitted_c06_train_outer_c06_validation,0
CV02,11,CE-GFRK-04-L010,4,1,True,16,256,0.1,175,-1.0751312639471566e-14,cross_fitted_c06_train_outer_c06_validation,0
CV02,11,CE-GFRK-06-L010,6,1,True,64,256,0.1,16,-7.378469325190521e-16,cross_fitted_c06_train_outer_c06_validation,0
CV02,11,CE-GFRK-08-L010,8,1,True,256,256,0.1,20,-8.220732798636105e-15,cross_fitted_c06_train_outer_c06_validation,0
CV02,12,CE-GFRK-04-L010,4,1,True,16,256,0.1,175,-1.1204988184697386e-14,cross_fitted_c06_train_outer_c06_validation,0
CV02,12,CE-GFRK-06-L010,6,1,True,64,256,0.1,19,-1.4735716198857531e-15,cross_fitted_c06_train_outer_c06_validation,0
CV02,12,CE-GFRK-08-L010,8,1,True,256,256,0.1,18,-1.82854537315036e-15,cross_fitted_c06_train_outer_c06_validation,0
CV02,13,CE-GFRK-04-L010,4,1,True,16,256,0.1,175,-1.2974006708382225e-14,cross_fitted_c06_train_outer_c06_validation,0
CV02,13,CE-GFRK-06-L010,6,1,True,64,256,0.1,16,-1.114834964468587e-15,cross_fitted_c06_train_outer_c06_validation,0
CV02,13,CE-GFRK-08-L010,8,1,True,256,256,0.1,13,-8.662259311803601e-16,cross_fitted_c06_train_outer_c06_validation,0
CV02,14,CE-GFRK-04-L010,4,1,True,16,256,0.1,175,-1.8904249130201324e-14,cross_fitted_c06_train_outer_c06_validation,0
CV02,14,CE-GFRK-06-L010,6,1,True,64,256,0.1,13,-1.088241089394765e-15,cross_fitted_c06_train_outer_c06_validation,0
CV02,14,CE-GFRK-08-L010,8,1,True,256,256,0.1,18,-7.505917561111914e-15,cross_fitted_c06_train_outer_c06_validation,0
CV02,15,CE-GFRK-04-L010,4,1,True,16,256,0.1,175,-2.6151396447198954e-14,cross_fitted_c06_train_outer_c06_validation,0
