outer_fold,seed_index,validation_rows,eta_min,eta_max,eta_mean,c06_probability_min,c06_probability_max,gate_formula,gate_source,validation_outcomes_used
CV02,4,9750,0.25429894165307393,0.7497771179353239,0.6629477843706367,0.00044576412935233204,0.9914021166938521,0.25 + 0.50 * (1 - p_C06),outer_fold_c06_feasibility_probability,0
CV02,5,9750,0.25429894165307393,0.7497771179353239,0.6629477843706367,0.00044576412935233204,0.9914021166938521,0.25 + 0.50 * (1 - p_C06),outer_fold_c06_feasibility_probability,0
CV02,6,9750,0.25429894165307393,0.7497771179353239,0.6629477843706367,0.00044576412935233204,0.9914021166938521,0.25 + 0.50 * (1 - p_C06),outer_fold_c06_feasibility_probability,0
CV02,7,9750,0.25429894165307393,0.7497771179353239,0.6629477843706367,0.00044576412935233204,0.9914021166938521,0.25 + 0.50 * (1 - p_C06),outer_fold_c06_feasibility_probability,0
CV02,8,9750,0.25429894165307393,0.7497771179353239,0.6629477843706367,0.00044576412935233204,0.9914021166938521,0.25 + 0.50 * (1 - p_C06),outer_fold_c06_feasibility_probability,0
CV02,9,9750,0.25429894165307393,0.7497771179353239,0.6629477843706367,0.00044576412935233204,0.9914021166938521,0.25 + 0.50 * (1 - p_C06),outer_fold_c06_feasibility_probability,0
CV02,10,9750,0.25429894165307393,0.7497771179353239,0.6629477843706367,0.00044576412935233204,0.9914021166938521,0.25 + 0.50 * (1 - p_C06),outer_fold_c06_feasibility_probability,0
CV02,11,9750,0.25429894165307393,0.7497771179353239,0.6629477843706367,0.00044576412935233204,0.9914021166938521,0.25 + 0.50 * (1 - p_C06),outer_fold_c06_feasibility_probability,0
CV02,12,9750,0.25429894165307393,0.7497771179353239,0.6629477843706367,0.00044576412935233204,0.9914021166938521,0.25 + 0.50 * (1 - p_C06),outer_fold_c06_feasibility_probability,0
CV02,13,9750,0.25429894165307393,0.7497771179353239,0.6629477843706367,0.00044576412935233204,0.9914021166938521,0.25 + 0.50 * (1 - p_C06),outer_fold_c06_feasibility_probability,0
CV02,14,9750,0.25429894165307393,0.7497771179353239,0.6629477843706367,0.00044576412935233204,0.9914021166938521,0.25 + 0.50 * (1 - p_C06),outer_fold_c06_feasibility_probability,0
CV02,15,9750,0.25429894165307393,0.7497771179353239,0.6629477843706367,0.00044576412935233204,0.9914021166938521,0.25 + 0.50 * (1 - p_C06),outer_fold_c06_feasibility_probability,0
CV02,16,9750,0.25429894165307393,0.7497771179353239,0.6629477843706367,0.00044576412935233204,0.9914021166938521,0.25 + 0.50 * (1 - p_C06),outer_fold_c06_feasibility_probability,0
CV02,17,9750,0.25429894165307393,0.7497771179353239,0.6629477843706367,0.00044576412935233204,0.9914021166938521,0.25 + 0.50 * (1 - p_C06),outer_fold_c06_feasibility_probability,0
CV02,18,9750,0.25429894165307393,0.7497771179353239,0.6629477843706367,0.00044576412935233204,0.9914021166938521,0.25 + 0.50 * (1 - p_C06),outer_fold_c06_feasibility_probability,0
CV02,19,9750,0.25429894165307393,0.7497771179353239,0.6629477843706367,0.00044576412935233204,0.9914021166938521,0.25 + 0.50 * (1 - p_C06),outer_fold_c06_feasibility_probability,0
CV02,20,9750,0.25429894165307393,0.7497771179353239,0.6629477843706367,0.00044576412935233204,0.9914021166938521,0.25 + 0.50 * (1 - p_C06),outer_fold_c06_feasibility_probability,0
CV03,1,9750,0.2623250206333594,0.7496860808167379,0.724838083443888,0.0006278383665241156,0.9753499587332812,0.25 + 0.50 * (1 - p_C06),outer_fold_c06_feasibility_probability,0
CV03,2,9750,0.2623250206333594,0.7496860808167379,0.724838083443888,0.0006278383665241156,0.9753499587332812,0.25 + 0.50 * (1 - p_C06),outer_fold_c06_feasibility_probability,0
CV03,3,9750,0.2623250206333594,0.7496860808167379,0.724838083443888,0.0006278383665241156,0.9753499587332812,0.25 + 0.50 * (1 - p_C06),outer_fold_c06_feasibility_probability,0
CV03,4,9750,0.2623250206333594,0.7496860808167379,0.724838083443888,0.0006278383665241156,0.9753499587332812,0.25 + 0.50 * (1 - p_C06),outer_fold_c06_feasibility_probability,0
CV03,5,9750,0.2623250206333594,0.7496860808167379,0.724838083443888,0.0006278383665241156,0.9753499587332812,0.25 + 0.50 * (1 - p_C06),outer_fold_c06_feasibility_probability,0
CV03,6,9750,0.2623250206333594,0.7496860808167379,0.724838083443888,0.0006278383665241156,0.9753499587332812,0.25 + 0.50 * (1 - p_C06),outer_fold_c06_feasibility_probability,0
CV03,7,9750,0.2623250206333594,0.7496860808167379,0.724838083443888,0.0006278383665241156,0.9753499587332812,0.25 + 0.50 * (1 - p_C06),outer_fold_c06_feasibility_probability,0
CV03,8,9750,0.2623250206333594,0.7496860808167379,0.724838083443888,0.0006278383665241156,0.9753499587332812,0.25 + 0.50 * (1 - p_C06),outer_fold_c06_feasibility_probability,0
CV03,9,9750,0.2623250206333594,0.7496860808167379,0.724838083443888,0.0006278383665241156,0.9753499587332812,0.25 + 0.50 * (1 - p_C06),outer_fold_c06_feasibility_probability,0
CV03,10,9750,0.2623250206333594,0.7496860808167379,0.724838083443888,0.0006278383665241156,0.9753499587332812,0.25 + 0.50 * (1 - p_C06),outer_fold_c06_feasibility_probability,0
CV03,11,9750,0.2623250206333594,0.7496860808167379,0.724838083443888,0.0006278383665241156,0.9753499587332812,0.25 + 0.50 * (1 - p_C06),outer_fold_c06_feasibility_probability,0
CV03,12,9750,0.2623250206333594,0.7496860808167379,0.724838083443888,0.0006278383665241156,0.9753499587332812,0.25 + 0.50 * (1 - p_C06),outer_fold_c06_feasibility_probability,0
CV03,13,9750,0.2623250206333594,0.7496860808167379,0.724838083443888,0.0006278383665241156,0.9753499587332812,0.25 + 0.50 * (1 - p_C06),outer_fold_c06_feasibility_probability,0
CV03,14,9750,0.2623250206333594,0.7496860808167379,0.724838083443888,0.0006278383665241156,0.9753499587332812,0.25 + 0.50 * (1 - p_C06),outer_fold_c06_feasibility_probability,0
