model_id,config_id,outer_fold,seed_index,validation_rows,nrmse,mae,mean_regret_m_s,infeasible_selection_rate,brier,auroc,recall,precision,ece,gate_eta_mean
AGEFRK-08-ADAPT,AGEFRK-08-ADAPT,CV01,13,6500,0.014177885171020043,0.012695855088824327,9.29397319264077,0.010769230769230769,0.04932996061596233,0.9845976892135344,0.9111718483088487,0.9844961240310077,0.09126005604771692,0.5697404106888432
TWO-RBF-08-ADAPT,TWO-RBF-08-ADAPT,CV01,13,6500,0.014694864876119854,0.012656963542582403,9.29397319264077,0.010769230769230769,0.04932996061596233,0.9845976892135344,0.9111718483088487,0.9844961240310077,0.09126005604771692,0.5697404106888432
C06,C06,CV01,14,6500,0.015176380962966552,0.011451556126719881,9.29397319264077,0.010769230769230769,0.04932996061596233,0.9845976892135344,0.9111718483088487,0.9844961240310077,0.09126005604771692,
AGEFRK-04-ADAPT,AGEFRK-04-ADAPT,CV01,14,6500,0.014613813495392734,0.012501465192563645,9.29397319264077,0.010769230769230769,0.04932996061596233,0.9845976892135344,0.9111718483088487,0.9844961240310077,0.09126005604771692,0.5697404106888432
TWO-RBF-04-ADAPT,TWO-RBF-04-ADAPT,CV01,14,6500,0.014813109762145825,0.012261827498759198,9.29397319264077,0.010769230769230769,0.04932996061596233,0.9845976892135344,0.9111718483088487,0.9844961240310077,0.09126005604771692,0.5697404106888432
AGEFRK-06-ADAPT,AGEFRK-06-ADAPT,CV01,14,6500,0.014395931274722806,0.012696863490780926,9.29397319264077,0.010769230769230769,0.04932996061596233,0.9845976892135344,0.9111718483088487,0.9844961240310077,0.09126005604771692,0.5697404106888432
TWO-RBF-06-ADAPT,TWO-RBF-06-ADAPT,CV01,14,6500,0.014711269526420257,0.012391547439628548,9.29397319264077,0.010769230769230769,0.04932996061596233,0.9845976892135344,0.9111718483088487,0.9844961240310077,0.09126005604771692,0.5697404106888432
AGEFRK-08-ADAPT,AGEFRK-08-ADAPT,CV01,14,6500,0.014173114319766696,0.012689007798928335,9.29397319264077,0.010769230769230769,0.04932996061596233,0.9845976892135344,0.9111718483088487,0.9844961240310077,0.09126005604771692,0.5697404106888432
TWO-RBF-08-ADAPT,TWO-RBF-08-ADAPT,CV01,14,6500,0.014694806142400733,0.012653761599531691,9.29397319264077,0.010769230769230769,0.04932996061596233,0.9845976892135344,0.9111718483088487,0.9844961240310077,0.09126005604771692,0.5697404106888432
C06,C06,CV01,15,6500,0.015176380962966552,0.011451556126719881,9.29397319264077,0.010769230769230769,0.04932996061596233,0.9845976892135344,0.9111718483088487,0.9844961240310077,0.09126005604771692,
AGEFRK-04-ADAPT,AGEFRK-04-ADAPT,CV01,15,6500,0.014613901103563358,0.012500791116308765,9.29397319264077,0.010769230769230769,0.04932996061596233,0.9845976892135344,0.9111718483088487,0.9844961240310077,0.09126005604771692,0.5697404106888432
TWO-RBF-04-ADAPT,TWO-RBF-04-ADAPT,CV01,15,6500,0.014813614036071097,0.012263594399323416,9.29397319264077,0.010769230769230769,0.04932996061596233,0.9845976892135344,0.9111718483088487,0.9844961240310077,0.09126005604771692,0.5697404106888432
AGEFRK-06-ADAPT,AGEFRK-06-ADAPT,CV01,15,6500,0.014397868936937085,0.012696891850634887,9.29397319264077,0.010769230769230769,0.04932996061596233,0.9845976892135344,0.9111718483088487,0.9844961240310077,0.09126005604771692,0.5697404106888432
TWO-RBF-06-ADAPT,TWO-RBF-06-ADAPT,CV01,15,6500,0.014711054944061377,0.012390417606089455,9.29397319264077,0.010769230769230769,0.04932996061596233,0.9845976892135344,0.9111718483088487,0.9844961240310077,0.09126005604771692,0.5697404106888432
AGEFRK-08-ADAPT,AGEFRK-08-ADAPT,CV01,15,6500,0.014174751975304165,0.01269268129163431,9.29397319264077,0.010769230769230769,0.04932996061596233,0.9845976892135344,0.9111718483088487,0.9844961240310077,0.09126005604771692,0.5697404106888432
TWO-RBF-08-ADAPT,TWO-RBF-08-ADAPT,CV01,15,6500,0.014694767062430307,0.012655585811229483,9.29397319264077,0.010769230769230769,0.04932996061596233,0.9845976892135344,0.9111718483088487,0.9844961240310077,0.09126005604771692,0.5697404106888432
C06,C06,CV01,16,6500,0.015176380962966552,0.011451556126719881,9.29397319264077,0.010769230769230769,0.04932996061596233,0.9845976892135344,0.9111718483088487,0.9844961240310077,0.09126005604771692,
AGEFRK-04-ADAPT,AGEFRK-04-ADAPT,CV01,16,6500,0.01461383720562267,0.01250165495413022,9.29397319264077,0.010769230769230769,0.04932996061596233,0.9845976892135344,0.9111718483088487,0.9844961240310077,0.09126005604771692,0.5697404106888432
TWO-RBF-04-ADAPT,TWO-RBF-04-ADAPT,CV01,16,6500,0.014813161639193575,0.012263680521845954,9.29397319264077,0.010769230769230769,0.04932996061596233,0.9845976892135344,0.9111718483088487,0.9844961240310077,0.09126005604771692,0.5697404106888432
AGEFRK-06-ADAPT,AGEFRK-06-ADAPT,CV01,16,6500,0.01439576942852669,0.012693926133846853,9.29397319264077,0.010769230769230769,0.04932996061596233,0.9845976892135344,0.9111718483088487,0.9844961240310077,0.09126005604771692,0.5697404106888432
TWO-RBF-06-ADAPT,TWO-RBF-06-ADAPT,CV01,16,6500,0.014711251163109734,0.012391071574462002,9.29397319264077,0.010769230769230769,0.04932996061596233,0.9845976892135344,0.9111718483088487,0.9844961240310077,0.09126005604771692,0.5697404106888432
