outer_fold,seed_index,q,candidate_id,control_id,fidelity_delta_l2,rbf25_delta_l2,rbf50_delta_l2,gate_eta_min,gate_eta_max,gate_eta_mean,residual_target_rows,channel_fit_rows,validation_outcomes_used,channel_source
CV03,15,6,AGEFRK-06-ADAPT,TWO-RBF-06-ADAPT,1.3386929857678054,1.6699883855788138,1.5848679887623036,0.2623250206333594,0.7496860808167379,0.724838083443888,1024,1024,0,same_cross_fitted_c06_residual
CV03,15,8,AGEFRK-08-ADAPT,TWO-RBF-08-ADAPT,1.412491486473268,1.7099153719624143,1.7084556741970036,0.2623250206333594,0.7496860808167379,0.724838083443888,1024,1024,0,same_cross_fitted_c06_residual
CV03,16,4,AGEFRK-04-ADAPT,TWO-RBF-04-ADAPT,1.744094318245841,2.063438834830307,2.143735633925732,0.2623250206333594,0.7496860808167379,0.724838083443888,1024,1024,0,same_cross_fitted_c06_residual
CV03,16,6,AGEFRK-06-ADAPT,TWO-RBF-06-ADAPT,1.3199538634186856,1.6688733952888424,1.583593151198392,0.2623250206333594,0.7496860808167379,0.724838083443888,1024,1024,0,same_cross_fitted_c06_residual
CV03,16,8,AGEFRK-08-ADAPT,TWO-RBF-08-ADAPT,1.4274766726450918,1.7018551647917195,1.689904797750922,0.2623250206333594,0.7496860808167379,0.724838083443888,1024,1024,0,same_cross_fitted_c06_residual
CV03,17,4,AGEFRK-04-ADAPT,TWO-RBF-04-ADAPT,1.7440943184406459,2.058355331935145,2.1404636799498187,0.2623250206333594,0.7496860808167379,0.724838083443888,1024,1024,0,same_cross_fitted_c06_residual
CV03,17,6,AGEFRK-06-ADAPT,TWO-RBF-06-ADAPT,1.3201980543756338,1.673050651281326,1.5898907344079716,0.2623250206333594,0.7496860808167379,0.724838083443888,1024,1024,0,same_cross_fitted_c06_residual
CV03,17,8,AGEFRK-08-ADAPT,TWO-RBF-08-ADAPT,1.423003126028592,1.7105400666491037,1.7101986222671968,0.2623250206333594,0.7496860808167379,0.724838083443888,1024,1024,0,same_cross_fitted_c06_residual
CV03,18,4,AGEFRK-04-ADAPT,TWO-RBF-04-ADAPT,1.7440943174583141,2.0647545157105847,2.150955191028329,0.2623250206333594,0.7496860808167379,0.724838083443888,1024,1024,0,same_cross_fitted_c06_residual
CV03,18,6,AGEFRK-06-ADAPT,TWO-RBF-06-ADAPT,1.319684378286794,1.669525940475839,1.5816533256996417,0.2623250206333594,0.7496860808167379,0.724838083443888,1024,1024,0,same_cross_fitted_c06_residual
CV03,18,8,AGEFRK-08-ADAPT,TWO-RBF-08-ADAPT,1.4334660004957127,1.709421014579689,1.7045491932903187,0.2623250206333594,0.7496860808167379,0.724838083443888,1024,1024,0,same_cross_fitted_c06_residual
CV03,19,4,AGEFRK-04-ADAPT,TWO-RBF-04-ADAPT,1.744094319095487,2.059163694890853,2.143725244961387,0.2623250206333594,0.7496860808167379,0.724838083443888,1024,1024,0,same_cross_fitted_c06_residual
CV03,19,6,AGEFRK-06-ADAPT,TWO-RBF-06-ADAPT,1.3129382139888053,1.6684120593333425,1.5825780790763917,0.2623250206333594,0.7496860808167379,0.724838083443888,1024,1024,0,same_cross_fitted_c06_residual
CV03,19,8,AGEFRK-08-ADAPT,TWO-RBF-08-ADAPT,1.4150988740941048,1.7019916578235879,1.6912614105246524,0.2623250206333594,0.7496860808167379,0.724838083443888,1024,1024,0,same_cross_fitted_c06_residual
CV03,20,4,AGEFRK-04-ADAPT,TWO-RBF-04-ADAPT,1.7440943185368707,2.064300317399483,2.1499352760220796,0.2623250206333594,0.7496860808167379,0.724838083443888,1024,1024,0,same_cross_fitted_c06_residual
CV03,20,6,AGEFRK-06-ADAPT,TWO-RBF-06-ADAPT,1.3064477317190701,1.67483278073958,1.585252972875863,0.2623250206333594,0.7496860808167379,0.724838083443888,1024,1024,0,same_cross_fitted_c06_residual
CV03,20,8,AGEFRK-08-ADAPT,TWO-RBF-08-ADAPT,1.4201529184758477,1.7071453088113135,1.6915172603695723,0.2623250206333594,0.7496860808167379,0.724838083443888,1024,1024,0,same_cross_fitted_c06_residual
CV04,1,4,AGEFRK-04-ADAPT,TWO-RBF-04-ADAPT,0.9941612692207978,0.7934011827870389,0.8308864694123033,0.2544723913372279,0.7497219984921561,0.6990112913729438,1024,1024,0,same_cross_fitted_c06_residual
CV04,1,6,AGEFRK-06-ADAPT,TWO-RBF-06-ADAPT,0.6514530799407733,0.46635426160564014,0.471563948368854,0.2544723913372279,0.7497219984921561,0.6990112913729438,1024,1024,0,same_cross_fitted_c06_residual
CV04,1,8,AGEFRK-08-ADAPT,TWO-RBF-08-ADAPT,0.6821114829416914,0.4281389880844202,0.35758592985829196,0.2544723913372279,0.7497219984921561,0.6990112913729438,1024,1024,0,same_cross_fitted_c06_residual
CV04,2,4,AGEFRK-04-ADAPT,TWO-RBF-04-ADAPT,0.9941612685116052,0.7932570871515514,0.8305092275570162,0.2544723913372279,0.7497219984921561,0.6990112913729438,1024,1024,0,same_cross_fitted_c06_residual
CV04,2,6,AGEFRK-06-ADAPT,TWO-RBF-06-ADAPT,0.6523420976090364,0.46520870814303034,0.4704624568517646,0.2544723913372279,0.7497219984921561,0.6990112913729438,1024,1024,0,same_cross_fitted_c06_residual
CV04,2,8,AGEFRK-08-ADAPT,TWO-RBF-08-ADAPT,0.6887446084896827,0.42890534676029857,0.3562813102767197,0.2544723913372279,0.7497219984921561,0.6990112913729438,1024,1024,0,same_cross_fitted_c06_residual
CV04,3,4,AGEFRK-04-ADAPT,TWO-RBF-04-ADAPT,0.9941612689814356,0.7928311036405911,0.829571182514393,0.2544723913372279,0.7497219984921561,0.6990112913729438,1024,1024,0,same_cross_fitted_c06_residual
CV04,3,6,AGEFRK-06-ADAPT,TWO-RBF-06-ADAPT,0.6520434940267662,0.46572768669601194,0.4744090275236539,0.2544723913372279,0.7497219984921561,0.6990112913729438,1024,1024,0,same_cross_fitted_c06_residual
CV04,3,8,AGEFRK-08-ADAPT,TWO-RBF-08-ADAPT,0.6890814250779066,0.43139268913455514,0.3613604791712825,0.2544723913372279,0.7497219984921561,0.6990112913729438,1024,1024,0,same_cross_fitted_c06_residual
CV04,4,4,AGEFRK-04-ADAPT,TWO-RBF-04-ADAPT,0.9941612689857797,0.7931814954044877,0.8300126256515459,0.2544723913372279,0.7497219984921561,0.6990112913729438,1024,1024,0,same_cross_fitted_c06_residual
CV04,4,6,AGEFRK-06-ADAPT,TWO-RBF-06-ADAPT,0.6514007382569139,0.4667776497819159,0.4735359682858125,0.2544723913372279,0.7497219984921561,0.6990112913729438,1024,1024,0,same_cross_fitted_c06_residual
