model_id,seed_index,validation_rows,brier,auroc,recall,precision,ece,rmse,nrmse,mae,mean_regret_m_s,infeasible_selection_rate,no_predicted_feasible_rate
A02-R-q8,19,78000,0.19089316100216625,0.5514604368690285,0.07590682581990961,0.30736743312998593,0.16008012538672917,0.06216994734942648,0.026546832401813263,0.05472814417226578,19.76674380863359,0.07217948717948718,0.37564102564102564
A02-R-q8,20,78000,0.19091343530462268,0.551519560556024,0.07590682581990961,0.30736743312998593,0.1602495097958955,0.06215847636277294,0.026541934241638487,0.05471693691773468,19.76674380863359,0.07217948717948718,0.37564102564102564
BASELINE,1,39000,0.12247392928942265,0.8971983962581732,0.39900336076022713,0.7013648400896313,0.09764262831651918,0.07911148331517207,0.03378094044092983,0.053920304181233836,16.811705150147947,0.06782051282051282,0.2321794871794872
BASELINE,2,39000,0.12247392928942265,0.8971983962581732,0.39900336076022713,0.7013648400896313,0.09764262831651918,0.07911148331517207,0.03378094044092983,0.053920304181233836,16.811705150147947,0.06782051282051282,0.2321794871794872
BASELINE,3,39000,0.12247392928942265,0.8971983962581732,0.39900336076022713,0.7013648400896313,0.09764262831651918,0.07911148331517207,0.03378094044092983,0.053920304181233836,16.811705150147947,0.06782051282051282,0.2321794871794872
BASELINE,4,39000,0.12247392928942265,0.8971983962581732,0.39900336076022713,0.7013648400896313,0.09764262831651918,0.07911148331517207,0.03378094044092983,0.053920304181233836,16.811705150147947,0.06782051282051282,0.2321794871794872
BASELINE,5,39000,0.12247392928942265,0.8971983962581732,0.39900336076022713,0.7013648400896313,0.09764262831651918,0.07911148331517207,0.03378094044092983,0.053920304181233836,16.811705150147947,0.06782051282051282,0.2321794871794872
BASELINE,6,39000,0.12247392928942265,0.8971983962581732,0.39900336076022713,0.7013648400896313,0.09764262831651918,0.07911148331517207,0.03378094044092983,0.053920304181233836,16.811705150147947,0.06782051282051282,0.2321794871794872
BASELINE,7,39000,0.12247392928942265,0.8971983962581732,0.39900336076022713,0.7013648400896313,0.09764262831651918,0.07911148331517207,0.03378094044092983,0.053920304181233836,16.811705150147947,0.06782051282051282,0.2321794871794872
BASELINE,8,39000,0.12247392928942265,0.8971983962581732,0.39900336076022713,0.7013648400896313,0.09764262831651918,0.07911148331517207,0.03378094044092983,0.053920304181233836,16.811705150147947,0.06782051282051282,0.2321794871794872
BASELINE,9,39000,0.12247392928942265,0.8971983962581732,0.39900336076022713,0.7013648400896313,0.09764262831651918,0.07911148331517207,0.03378094044092983,0.053920304181233836,16.811705150147947,0.06782051282051282,0.2321794871794872
BASELINE,10,39000,0.12247392928942265,0.8971983962581732,0.39900336076022713,0.7013648400896313,0.09764262831651918,0.07911148331517207,0.03378094044092983,0.053920304181233836,16.811705150147947,0.06782051282051282,0.2321794871794872
BASELINE,11,39000,0.12247392928942265,0.8971983962581732,0.39900336076022713,0.7013648400896313,0.09764262831651918,0.07911148331517207,0.03378094044092983,0.053920304181233836,16.811705150147947,0.06782051282051282,0.2321794871794872
BASELINE,12,39000,0.12247392928942265,0.8971983962581732,0.39900336076022713,0.7013648400896313,0.09764262831651918,0.07911148331517207,0.03378094044092983,0.053920304181233836,16.811705150147947,0.06782051282051282,0.2321794871794872
BASELINE,13,39000,0.12247392928942265,0.8971983962581732,0.39900336076022713,0.7013648400896313,0.09764262831651918,0.07911148331517207,0.03378094044092983,0.053920304181233836,16.811705150147947,0.06782051282051282,0.2321794871794872
BASELINE,14,39000,0.12247392928942265,0.8971983962581732,0.39900336076022713,0.7013648400896313,0.09764262831651918,0.07911148331517207,0.03378094044092983,0.053920304181233836,16.811705150147947,0.06782051282051282,0.2321794871794872
BASELINE,15,39000,0.12247392928942265,0.8971983962581732,0.39900336076022713,0.7013648400896313,0.09764262831651918,0.07911148331517207,0.03378094044092983,0.053920304181233836,16.811705150147947,0.06782051282051282,0.2321794871794872
BASELINE,16,39000,0.12247392928942265,0.8971983962581732,0.39900336076022713,0.7013648400896313,0.09764262831651918,0.07911148331517207,0.03378094044092983,0.053920304181233836,16.811705150147947,0.06782051282051282,0.2321794871794872
BASELINE,17,39000,0.12247392928942265,0.8971983962581732,0.39900336076022713,0.7013648400896313,0.09764262831651918,0.07911148331517207,0.03378094044092983,0.053920304181233836,16.811705150147947,0.06782051282051282,0.2321794871794872
BASELINE,18,39000,0.12247392928942265,0.8971983962581732,0.39900336076022713,0.7013648400896313,0.09764262831651918,0.07911148331517207,0.03378094044092983,0.053920304181233836,16.811705150147947,0.06782051282051282,0.2321794871794872
BASELINE,19,39000,0.12247392928942265,0.8971983962581732,0.39900336076022713,0.7013648400896313,0.09764262831651918,0.07911148331517207,0.03378094044092983,0.053920304181233836,16.811705150147947,0.06782051282051282,0.2321794871794872
BASELINE,20,39000,0.12247392928942265,0.8971983962581732,0.39900336076022713,0.7013648400896313,0.09764262831651918,0.07911148331517207,0.03378094044092983,0.053920304181233836,16.811705150147947,0.06782051282051282,0.2321794871794872
C02,1,39000,0.10458991128301126,0.9171153036986388,0.329006837408738,0.7324561403508771,0.07153508898657504,,,,,,
C02,2,39000,0.10436410501595228,0.9152032137933852,0.32367597635879014,0.7258316008316008,0.06782024055561567,,,,,,
C02,3,39000,0.10525149868298198,0.9135614662875083,0.32831150770657086,0.7337477337477337,0.06936797172772813,,,,,,
C02,4,39000,0.10567095030418965,0.915006378091091,0.32576196546529146,0.7250451379932937,0.06934211749350479,,,,,,
C02,5,39000,0.10443663743523542,0.9133176319355065,0.3266890717348476,0.7230058989484484,0.06928966607767909,,,,,,
C02,6,39000,0.10664211752580467,0.912528295394538,0.31904044501100937,0.7201150928590112,0.07639453225769058,,,,,,
C02,7,39000,0.10176937052060099,0.9189892551364226,0.32564607718159694,0.7331072267153665,0.06711674511648558,,,,,,
C02,8,39000,0.10991374433024047,0.9096130607694525,0.31904044501100937,0.7227618797584668,0.08448190427562566,,,,,,
C02,9,39000,0.10612811749381702,0.9130598357373345,0.325877853748986,0.7313394018205461,0.06919514600649827,,,,,,
C02,10,39000,0.1027682795263031,0.9167678353589185,0.32263298180553945,0.731284475965327,0.07041384568128271,,,,,,
C02,11,39000,0.10440291325535511,0.9151365334813255,0.32471897091204077,0.7373684210526316,0.06591530057475642,,,,,,
C02,12,39000,0.10400061867667085,0.9162208144996111,0.32993394367829415,0.7251655629139073,0.07662085877936499,,,,,,
C02,13,39000,0.10936082583848629,0.910880104986978,0.3235600880750956,0.7182917417031129,0.08133515756261221,,,,,,
C02,14,39000,0.10802177688997276,0.9094798241573587,0.33028160852937766,0.7287138839171567,0.07745751103828999,,,,,,
C02,15,39000,0.10496983751677232,0.9163121445865438,0.31996755128056553,0.733723093276641,0.07188128773859799,,,,,,
C02,16,39000,0.10642818819819394,0.9138926451707375,0.32205354038706685,0.7292049330884283,0.06781223966064484,,,,,,
C02,17,39000,0.10616895658684611,0.9135895960305986,0.3291227256924325,0.728952772073922,0.07304385370979692,,,,,,
C02,18,39000,0.10500097043590681,0.91571707383713,0.31996755128056553,0.7229641267347473,0.07173049244502563,,,,,,
C02,19,39000,0.1085943279768941,0.9119855710749376,0.3255301888979024,0.7265907915157785,0.07985251579023533,,,,,,
C02,20,39000,0.1052219106185747,0.9135213951403212,0.32935450225982155,0.7274123368313283,0.07691314125971563,,,,,,
C06,1,39000,0.12247392928942265,0.8971983962581732,0.39900336076022713,0.7013648400896313,0.09764262831651918,0.016001739666352786,0.006832811015144498,0.004007150054949517,16.806576945019742,0.06756410256410256,0.2321794871794872
C06,2,39000,0.12247392928942265,0.8971983962581732,0.39900336076022713,0.7013648400896313,0.09764262831651918,0.016001739666352786,0.006832811015144498,0.004007150054949517,16.806576945019742,0.06756410256410256,0.2321794871794872
C06,3,39000,0.12247392928942265,0.8971983962581732,0.39900336076022713,0.7013648400896313,0.09764262831651918,0.016001739666352786,0.006832811015144498,0.004007150054949517,16.806576945019742,0.06756410256410256,0.2321794871794872
C06,4,39000,0.12247392928942265,0.8971983962581732,0.39900336076022713,0.7013648400896313,0.09764262831651918,0.016001739666352786,0.006832811015144498,0.004007150054949517,16.806576945019742,0.06756410256410256,0.2321794871794872
