model_id,config_id,fold_id,seed_index,validation_rows,brier,auroc,recall,precision,ece,rmse,nrmse,mae,mean_regret_m_s,infeasible_selection_rate,no_predicted_feasible_rate
PRQK-06-N,PRQK-06-N,CV02,9,9750,0.20838858333218555,0.6864224571294338,0.18424242424242424,0.27573696145124715,0.27629916329878645,0.08535669429370626,0.036447672137343935,0.07645943794456932,19.476923076923075,0.2076923076923077,0.3523076923076923
A02-R-q6,A02-R-q6,CV02,9,9750,0.3104127201874811,0.3212087385482735,0.0006060606060606061,0.2,0.3409097737618867,0.06714317609528886,0.02867042226542132,0.06049713147201743,19.97948717948718,0.0020512820512820513,0.583076923076923
PRQK-06-N,PRQK-06-N,CV02,10,9750,0.2084044739406371,0.68638548273432,0.18424242424242424,0.27573696145124715,0.2762915355138377,0.08527104453855595,0.036411099326972195,0.07637598458879645,19.476923076923075,0.2076923076923077,0.3523076923076923
A02-R-q6,A02-R-q6,CV02,10,9750,0.31040963622512235,0.3211807610993658,0.0006060606060606061,0.2,0.34089980699541916,0.06713929354621323,0.02866876440042389,0.060492670829811385,19.97948717948718,0.0020512820512820513,0.583076923076923
PRQK-06-N,PRQK-06-N,CV02,11,9750,0.2084544272222089,0.6863195207892882,0.18424242424242424,0.27573696145124715,0.2763485248963157,0.08536016778081194,0.03644915533113733,0.076461291130292,19.476923076923075,0.2076923076923077,0.3523076923076923
A02-R-q6,A02-R-q6,CV02,11,9750,0.31042317963897503,0.3211713648108997,0.0006060606060606061,0.2,0.3409080270954467,0.06713969059345848,0.028668933941289287,0.06049262623023072,19.97948717948718,0.0020512820512820513,0.583076923076923
PRQK-06-N,PRQK-06-N,CV02,12,9750,0.20849713008080636,0.6862871975569651,0.18424242424242424,0.27573696145124715,0.2763772994369745,0.08532907296299491,0.036435877711445706,0.0764343661535421,19.476923076923075,0.2076923076923077,0.3523076923076923
A02-R-q6,A02-R-q6,CV02,12,9750,0.31041533704376845,0.32118099600657735,0.0006060606060606061,0.2,0.3409008867913188,0.06713987470954494,0.02866901255964266,0.060493362459284224,19.97948717948718,0.0020512820512820513,0.583076923076923
PRQK-06-N,PRQK-06-N,CV02,13,9750,0.20849134326238605,0.6862850364106179,0.18424242424242424,0.27573696145124715,0.2763595795817134,0.08532086099593476,0.036432371166522814,0.07643068266551492,19.476923076923075,0.2076923076923077,0.3523076923076923
A02-R-q6,A02-R-q6,CV02,13,9750,0.310429182648244,0.32112692036645524,0.0006060606060606061,0.2,0.34090613950836973,0.0671385141090238,0.028668431577423107,0.06049276437771809,19.97948717948718,0.0020512820512820513,0.583076923076923
